dlga_award_fief_to_vassal:award_fief_to_vassal_defer|Я бы хотел отложить назначение владельца, до получения совета от моих подданных.
dlga_tavern_traveler_tell_kingdoms_4:tavern_traveler_tell_kingdoms_5|Для искателя приключений вроде вас будет лучше дать клятву верности какому-нибудь известному противнику короля. В Кальрадии много таких претендентов на трон, родившихся в знатном семействе и утверждающих, что у них больше прав, чем у нынешнего короля. А если у такого человека появятся последователи, то он вполне может развязать войну за престол и, возможно, даже свергнуть короля.
dlga_tavern_traveler_tell_kingdoms_5:tavern_traveler_tell_kingdoms_6|Интересно. И где таких людей искать?
dlga_tavern_traveler_tell_kingdoms_5:close_window|Думаю, с меня достаточно. Спасибо.
dlga_tavern_traveler_tell_kingdoms_6:tavern_traveler_pretalk|Жизнь потенциальных претендентов на трон не безопасна, и они нечасто живут в родном доме. Нередко их можно встретить при чужих дворах: там они ищут союзников. Иногда до меня доходят кое-какие занятные рассказы, и я мог бы рассказать, кто где сейчас находится. Но не безвозмездно, не безвозмездно.
dlga_tavern_traveler_talk:tavern_traveler_pretender_location|Скажите мне, где живет претендент на трон.
dlga_tavern_traveler_pretender_location:tavern_traveler_pretender_location_ask|Кого именно вы ищете?
dlga_tavern_traveler_pretender_location_ask:tavern_traveler_pretender_location_ask_2|{s11}
dlga_tavern_traveler_pretender_location_ask:tavern_traveler_pretalk|Неважно.
dlga_tavern_traveler_pretender_location_ask_2:tavern_traveler_pretender_location_ask_money|За эти сведения я попрошу немного, скажем, 30 динар.
dlga_tavern_traveler_pretender_location_ask_money:tavern_traveler_pretender_location_tell|Хорошо. Вот 30 динар.
dlga_tavern_traveler_pretender_location_ask_money:tavern_traveler_pretalk|Нет, спасибо.
dlga_tavern_traveler_pretender_location_tell:tavern_traveler_pretalk|{s15} находится сейчас в {s11}.
dlga_tavern_traveler_talk:tavern_traveler_companion_location|Я ищу одного человека...
dlga_tavern_traveler_companion_location:tavern_traveler_companion_location_ask|Может, я смогу вам помочь. Кого вы ищете?
dlga_tavern_traveler_companion_location_ask:tavern_traveler_companion_location_ask_2|{s11}
dlga_tavern_traveler_companion_location_ask:tavern_traveler_pretalk|Никого.
dlga_tavern_traveler_companion_location_ask_2:tavern_traveler_companion_location_ask_money|Кажется, я знаю, где {s15}. Скажу вам за 30 динар.
dlga_tavern_traveler_companion_location_ask_money:tavern_traveler_companion_location_tell|Хорошо. Вот 30 динар.
dlga_tavern_traveler_companion_location_ask_money:tavern_traveler_pretalk|Нет, спасибо.
dlga_tavern_traveler_companion_location_tell:tavern_traveler_pretalk|{s15} находится сейчас в {s11}.{s12}
dlga_tavern_traveler_talk:close_window|Прощайте.
dlga_start:tavern_traveler_answer|Приветствую вас. Говорят, вас в последнее время интересует {s17}. Я там нередко бываю, а за небольшое вознаграждение даже смогу рассказать вам, что я там видел. С вас 100 динар.
dlga_tavern_traveler_answer:tavern_traveler_continue|Вот 100 динар, рассказывайте.
dlga_tavern_traveler_answer:close_window|Нет, спасибо, меня это не интересует.
dlga_tavern_traveler_continue:close_window|Что ж, это все. До свидания.
dlga_start:bookseller_talk|Здравствуйте, {сир/мадам}. Интересуетесь книгами?
dlga_bookseller_talk:bookseller_buy|Да. Покажите, что у вас есть.
dlga_bookseller_buy:book_trade_completed|Конечно, {сир/мадам}.
dlga_book_trade_completed:bookseller_talk|Что-нибудь еще?
dlga_bookseller_talk:close_window|Нет, спасибо.
dlga_start:minstrel_1|Приветствую, {благородный сир/благородная леди}.
dlga_minstrel_1:minstrel_job_description|Что привело вас сюда?
dlga_minstrel_1:minstrel_courtship_questions|Мне хотелось бы узнать о куртуазности в Кальрадии.
dlga_minstrel_1:minstrel_courtship_poem|Поможете мне выучить стихотворения?
dlga_minstrel_courtship_poem:minstrel_courtship_poem_teach|Я могу прочитать вам поэму Штурм замка любви". Она довольно короткая, и ее несложно выучить наизусть. Поэма полна аллегорий, символики и метафор. В ней говорится о храбром, хоть и грубоватом воине. Этот воин завоевал сердце дамы, обратившись к идеалам доблести и став благородным рыцарем. Женщина в этих стихах вдохновляет и одновременно облагораживает мужчин. Эту поэму любят некоторые благородные дамы, но не все, разумеется."
dlga_minstrel_courtship_poem:minstrel_courtship_poem_teach.1|Я могу прочитать вам поэму Желания сердца". Ее можно рассматривать как духовное или же как эротическое произведение. В ней говорится о том, как влюбленный мужчина постигает божественную красоту, созерцая тело женщины. Думаю, эта поэма понравится дамам романтического склада, а вот других может утомить, а то и хуже - нарветесь на скандал."
dlga_minstrel_courtship_poem:minstrel_courtship_poem_teach.2|Я могу поведать вам сказание о Каисе и Лаяле. Это незамысловатая и, в общем-то, грустная история о пастухе Каисе и дворянке Лаяле. Они полюбили друг друга, но так и не поженились. Стихотворение суть речь Каяма, который скитается в одиночестве, скорбит и не может забыть свою возлюбленную. Постепенно он сходит с ума. Некоторым дамам нравится сладкая боль этой сказки, другие же видят в Каисе лишь жалкого простака.
dlga_minstrel_courtship_poem:minstrel_courtship_poem_teach.3|Я могу рассказать вам сагу о Хельгераде и Каре. Конечно же, это сказание о герое, полное крови и битв. Дева-воительница Кара избрала Хельгерада своим любовником, потому что лишь он смог одолеть ее в открытом бою. Отец девы собирался выдать ее за другого, а потому собрал сыновей и воинов, чтобы убить Хельгерада. Начался бой, в котором Кара и ее любимый перебили целое поселение, оставив в живых только любимого младшего брата Кары. Увы, но брат возмужал и отомстил за смерть отца, убив Хельгерада. Сказание о равных по силе воинах-возлюбленных льстит некоторым женщинам, но других образ обагренной кровью девы лишь отталкивает.
dlga_minstrel_courtship_poem:minstrel_courtship_poem_teach.4|Я могу растолковать вам поэму Перебранка в саду". Это комическое произведение, полное сатиры на заведенный порядок ухаживаний. Воздыхатель проникает в один из садов Джелкалы и прибегает к сладким речам, дабы соблазнить свою даму. Та колкостями отметает его неуклюжие попытки. Когда воздыхатель окончательно падает духом, дама берет его за руки и говорит, что давно мечтает о романе, но на своих собственных условиях. Поэма в чести у дам с чувством юмора, а вот самовлюбленные особы решат, что над ними просто насмехаются."
dlga_minstrel_courtship_poem_teach:minstrel_courtship_poem_teach_2|Чтобы выучить поэму наизусть, придется потратить несколько часов. Разумеется, я жду и небольшого вознаграждения за труды. Трех сотен динар мне будет достаточно.
dlga_minstrel_courtship_poem:minstrel_pretalk|Вижу, что вы уже знакомы с произведениями, которым я мог бы вас научить.
dlga_minstrel_courtship_poem_teach_2:minstrel_courtship_poem_teach_3|Да, мне бы хотелось выучить вот это.
dlga_minstrel_courtship_poem_teach_2:minstrel_pretalk|Неважно.
dlga_minstrel_courtship_poem_teach_3:minstrel_courtship_poem_teach_4|Прекрасно. Повторяйте за мной:^ Я отразил насмешек лед^ броней из чистого служенья^ той деве, что в мечтах зовет^ исполнить все ее веленья
dlga_minstrel_courtship_poem_teach_3:minstrel_courtship_poem_teach_4.1|Прекрасно. Повторяйте за мной:^ Вы есть начало и конец,^ мой дальний круг и ближний.^ Любовь - не столько звон колец,^ сколь сон, где третий - лишний.^ И сну, как амфоре без дна,^ Хоть пользы нет, но есть цена
dlga_minstrel_courtship_poem_teach_3:minstrel_courtship_poem_teach_4.2|Прекрасно. Повторяйте за мной:^ Ветер, что дует в далекой степи,^ тронет и занавесь на окне.^ Ты за окном и сейчас не спишь,^ я же бреду, словно в пьяном сне.^ Крикну я ветру, пускай летит^ и возвращается с тенью слов^ Пусть принесет мне плоды молитв -^ отклик любимой, на крыльях сов
dlga_minstrel_courtship_poem_teach_3:minstrel_courtship_poem_teach_4.3|Прекрасно. Повторяйте за мной:^ Тут дева-богатырша копье метнула в цель.^ Столь страшного удара в сражениях досель^ Могучий сын Зиглинды не отбивал щитом.^ Из стали искры брызнули и вверх взвились столбом.
dlga_minstrel_courtship_poem_teach_3:minstrel_courtship_poem_teach_4.4|Прекрасно. Повторяйте за мной:^ Ни шелка из Джелкалы, ни мех из Кудана^ не даруют тебе моих уст.^ Я дарю поцелуи любимым, но странно -^ не питаю к тебе нежных чувств.^ Говоришь о дарах? Так хвались, не робей.^ Может статься, не выгоню тут же взашей.
dlga_minstrel_courtship_poem_teach_4:minstrel_learn_poem_continue|Я отразил насмешек лед...
dlga_minstrel_courtship_poem_teach_4:minstrel_learn_poem_continue.1|Вы есть начало и конец...
dlga_minstrel_courtship_poem_teach_4:minstrel_learn_poem_continue.2|Ветер, что дует в далекой степи...
dlga_minstrel_courtship_poem_teach_4:minstrel_learn_poem_continue.3|Тут дева-богатырша копье метнула в цель...
dlga_minstrel_courtship_poem_teach_4:minstrel_learn_poem_continue.4|Ни шелка из Джелкалы...
dlga_minstrel_courtship_poem_teach_4:minstrel_courtship_poem_teach_reject|Что это за словоблудие?
dlga_minstrel_courtship_poem_teach_reject:minstrel_pretalk|Видно, такая поэзия вам не по вкусу. Можете оставить деньги себе, но помните - поэма хороша, если она нравится не вам, но вашей публике. И если вдруг захотите выучить известные мне строки - обращайтесь.
dlga_minstrel_learn_poem_continue:close_window|Неплохо, но впереди еще много строф. Слушайте внимательно...
dlga_minstrel_1:minstrel_gossip|Можете рассказать мне о здешних девушках на выданье?
dlga_minstrel_gossip:minstrel_gossip_select|О ком именно вы хотите узнать?
dlga_minstrel_gossip_select:minstrel_gossip_maiden_selected_2|Просто расскажите мне последние сплетни.
dlga_minstrel_gossip_select:minstrel_gossip_maiden_selected|{s10}
dlga_minstrel_gossip_select:minstrel_pretalk|Ничего.
dlga_minstrel_gossip_maiden_selected:minstrel_gossip_maiden_selected_2|{s16}
dlga_minstrel_gossip_maiden_selected_2:minstrel_postgossip|Она состоит в браке с вами, конечно! Естественно, никто не думает, что она может породить какой-нибудь слух...
dlga_minstrel_gossip_maiden_selected_2:minstrel_postgossip.1|{s12}.
dlga_minstrel_gossip_maiden_selected_2:minstrel_postgossip.2|{s12}.
dlga_minstrel_postgossip:minstrel_pretalk|Как интересно... Давайте лучше поговорим о других вещах.
dlga_minstrel_postgossip:minstrel_gossip|Очень интересно, а другие новости есть?
dlga_minstrel_postgossip:minstrel_duel_confirm|Что? Я зарублю этого негодяя своим мечом!
dlga_minstrel_duel_confirm:minstrel_duel_confirm_2|Вы серьезно? Закон чести требует от {s11} принять ваш вызов. Однако вынуждать дворянина драться из-за женщины довольно опрометчиво даже в наши нелегкие времена.
dlga_minstrel_duel_confirm_2:minstrel_duel_issued|Да, я заставлю {s11} отказаться от притязаний на {s12}.
dlga_minstrel_duel_confirm_2:minstrel_pretalk|Ладно, пусть мои чувства останутся при мне.
dlga_minstrel_duel_issued:minstrel_pretalk|Как пожелаете. Я распущу весть о ваших намерениях, чтобы {s13} не сумел уйти от ответа...
dlga_minstrel_1:minstrel_courtship_locations|Слышали о каких-нибудь проводимых в настоящее время праздниках?
dlga_minstrel_courtship_locations:minstrel_pretalk|{s12}
dlga_minstrel_1:close_window|До встречи.
dlga_minstrel_courtship_questions:minstrel_courtship_questions_2|Что вы хотите узнать?
dlga_minstrel_courtship_prequestions:minstrel_courtship_questions_2|У вас есть еще какие-то вопросы?
dlga_minstrel_courtship_questions_2:minstrel_player_role|Есть ли для меня место в любовной игре?
dlga_minstrel_courtship_questions_2:minstrel_player_advice_meet|Как кавалеру повстречаться с дамой?
dlga_minstrel_courtship_questions_2:minstrel_player_advice_woo|Если кавалер встретит даму, как он должен за ней ухаживать?
dlga_minstrel_courtship_questions_2:minstrel_nobles|Расскажите мне о свадебных традициях Кальрадии.
dlga_minstrel_nobles:minstrel_nobles_2|Знать - люди странные. В Кальрадии дочь является своего рода политическим товаром и отдается тому правителю, с которым ее отец желает заключить союз. Знатные семейства этих земель любят говорить о высокой любви между мужчиной и женщиной, но это только слова. Доблестные воины льют скупые слезы, заслышав историю Сахиры и Джануна, но это не мешает им разбивать сердца родных дочерей.
dlga_minstrel_nobles_2:minstrel_nobles_3|Конечно, отец отцу рознь. Иные вельможи Кальрадии позволяют дочерям выбирать себе мужей по любви. Другие считают, что даровать дочери право выбора - значит подставить под сомнение свою власть в доме. Такие выбирают женихов, не задумываясь над чувствами детей.
dlga_minstrel_nobles_3:minstrel_prequestions|Но большинство господ придерживаются золотой середины: они сами принимают решение о свадьбе, но прислушиваются к желаниям дочери. В конце концов, счастливый брак приносит больше наследников. Так что, соблюдая правила куртуазности, можно добиться многого.
dlga_minstrel_courtship_questions_2:minstrel_daughter_father|А что если отец и дочь расходятся в выборе жениха?
dlga_minstrel_daughter_father:minstrel_daughter_father_2|Порой бывает, что невеста убегает из дома. Такая выходка сильно бьет по престижу семьи и становится причиной долгих распрей. Из-за одной женщины может разгореться целая война! Это даст отличную тему и для песен, и для да пересудов.
dlga_minstrel_daughter_father_2:minstrel_prequestions|Но большинство невест подчиняются воле отцов. Для знатной дамы семья - это все. Сбежать из дома и рискнуть всем ради малознакомого человека - для этого нужен особый нрав. Поэтому чаще всего дева скорбит о возлюбленном, но подчиняется воле родителей. Но если б не было на свете разбитых сердец, о чем бы пели менестрели?
dlga_minstrel_player_role:minstrel_player_role_2|Ясное дело! Лорды Кальрадии свято чтят свои родословные, но коли у тебя нет денег и земель, то и от предков толку - пшик. А потому даже иноземец может стать завидной партией для многих здешних семей.
dlga_minstrel_player_role_2:minstrel_player_role_3|Впрочем, в амурных делах придется соперничать с местными правителями, а это будет нелегко: они знают здешних девиц с детства и давно сошлись с матерями и тетушками будущих невест. Может статься, что дама будет рада обществу незнакомца, но все равно пойдет замуж за давно известного ей человека.
dlga_minstrel_player_role_3:minstrel_prequestions|Знайте, сердце вам могут разбить не раз и не два, но тот, кто боится поражений в любви, тот не вкусит и плодов победы. Будьте храбры, не падайте духом из-за отказов и в итоге победа останется за вами.
dlga_minstrel_player_role:minstrel_female_player_3|Миледи, я скажу прямо - большинство лордов этих земель ищут скромных дев, чья кожа светлая, как снег, а ваша смуглая от солнца. Им подавай голос, подобный журчанию ручейка, ваш же охрипший от командования людьми в бою. К тому же, многие лорды Кальрадии ценят стихи о любви, большинство из них хотят наследников, и лишь немногие женщины могут ездить и биться пока беременны.
dlga_minstrel_female_player_3:minstrel_prequestions|Правда, не все лорды так узколобы. Да и среди любовных стихов нет-нет, да и проскользнет поэма о щитоносных девах и охотницах, которые пробили себе дорогу в жизни и были счастливы в любви. Я не говорю, что вам будет легко найти такого понимающего мужа, однако нет ничего невозможного.
dlga_minstrel_courtship_questions_2:minstrel_spouse_benefits|Какие преимущества может дать {замужество/женитьба}?
dlga_minstrel_spouse_benefits:minstrel_wife_benefits_2|А вы романтик! Ну, кроме очевидной радости от любовных утех, вздохов под луной и домашнего уюта, брак с отпрыском знатного рода дает большие преимущества. Вы можете заключить прочный союз с семьей невесты, и сама ваша жена поможет вам разобраться в политических хитросплетениях Кальрадии.
dlga_minstrel_wife_benefits_2:minstrel_prequestions|Что еще более важно, большая часть знатных семей страны так или иначе имеет кровное родство с королевской династией. А это значит, что у вас появится право бороться за престол...
dlga_minstrel_spouse_benefits:minstrel_wife_benefits_2.1|Оказывается, вы любите романтику! Ну, кроме очевидной радости от любовных утех, вздохов под луной и домашнего уюта, брак с отпрыском знатного рода дает большие преимущества. Вы можете получить доступ к замкам и имуществу жениха, представлять его интересы в делах управления землями.
dlga_minstrel_player_advice_meet:minstrel_player_advice_meet_2|Время от времени монархи или великие лорды Кальрадии устраивают праздники, которые сопровождаются пирами, а в городах - еще и турнирами. В замковых же землях устраивают охоту. Каждый праздник - это возможность уладить былые разногласия, которые подтачивают силу государства. Тогда же выводят в свет готовых к замужеству дочерей, причем их часто оставляют одних и дозволяют беседовать с гостями без присмотра.
dlga_minstrel_player_advice_meet_2:minstrel_prequestions|При возможности вы можете сделать даме комплимент. Дама поймет, что перед ней еще один воздыхатель, а потому даст вам знать, хочет ли развития ваших отношений. Если до этого вы с успехом бились на турнире или проявили себя на охоте, то сможете произвести более сильное впечатление.
dlga_minstrel_player_advice_woo:minstrel_player_advice_woo_2|Сразу же посвататься к даме нельзя - для этого придется запастись терпением и несколько раз повидаться с ней. Порой свидания растягиваются на месяцы. Если дама захочет вас видеть, она станет находить способы призвать вас к себе. Конечно, вы можете просто отправиться к ее брату или отцу и попросить разрешения на встречу. Но если опекун вам откажет, у вас останется возможность встретиться с дамой тайком.
dlga_minstrel_player_advice_woo_2:minstrel_player_advice_woo_3|Назначив встречу, вы можете попытаться добиться благосклонности дамы. Наверное, самым сложным будет найти общую тему для разговора. Большая часть кальрадских женщин ведет затворнический образ жизни, по крайней мере до замужества. Так что рассказывать им почти нечего. С другой стороны, даме могут наскучить ваши рассказы о ратных подвигах.
dlga_minstrel_player_advice_woo_3:minstrel_player_advice_woo_4|Есть один проверенный способ ухаживания - прочесть известное произведение, а потом его обсудить. Тогда вы оба будете понимать суть вопроса - ни она, ни вы не окажетесь в выигрыше по части знаний и опыта. Но сами понимаете, сколько людей - столько и мнений о поэзии.
dlga_minstrel_player_advice_woo_4:minstrel_player_advice_woo_5|В какой-то момент можно начинать разговор о браке. Дама даст вам понять, чего она ждет от будущего мужа. Одни дамы хладнокровно оценивают выгоду, другие больше полагаются на чувства. Одни будут приглядываться к вашим спутникам в надежде понять, будете ли вы принимать их за равных, другие же просто будут следовать воле отца.
dlga_minstrel_player_advice_woo_5:minstrel_prequestions|При любом раскладе ухаживание - дело непростое. Не забывайте, что даже добившись расположения дамы, вы всегда можете споткнуться о политические взгляды ее отца. Так что подумайте лишний раз, хотите ли вы рискнуть и подставить сердце под удар? Конечно, есть еще один вариант: поступиться положением в обществе, наплодить врагов и срывать плоды запретной любви. Если вы готовы к такому риску, то кто знает - может, со временем и вы станете героем поэм.
dlga_minstrel_courtship_questions_2:minstrel_job_description|Еще раз, чем занимается ваша творческая братия?
dlga_minstrel_job_description:minstrel_courtship_prequestions|Я придумываю и записываю песни для правителей этой земли. Порой я пою и о войне, и о доблести королей... А для самой взыскательной публики я воспеваю прелести вина. Но чаще всего от меня ждут песен о любви.
dlga_minstrel_courtship_questions_2:minstrel_pretalk|Нет, это все.
dlga_minstrel_prequestions:minstrel_courtship_questions_2|У вас остались другие вопросы?
dlga_minstrel_pretalk:minstrel_1|Что-нибудь еще?
dlga_start:farmer_from_bandit_village_1|{Милорд/Мадам}, мы остро нуждаемся в помощи. Не угодно ли вам выслушать мою просьбу?
dlga_farmer_from_bandit_village_1:farmer_from_bandit_village_2|В чем дело, любезный?
dlga_farmer_from_bandit_village_1:farmer_from_bandit_village_2.1|Чего ты там бубнишь? Говори, в чем дело!
dlga_farmer_from_bandit_village_2:farmer_from_bandit_village_3|Группа бандитов нашла пристанище в нашей деревне. Они забирают все, что есть у нас, заставляют нас прислуживать им и делают нам много дурного. Наша жизнь стала невыносимой. Я рискуя своей шкурой бежал, чтобы найти кого-то, кто может нам помочь.
dlga_farmer_from_bandit_village_3:farmer_from_bandit_village_4|Почему бы вам не пойти к лорду вашей деревни? Он бы позаботился о подонках.
dlga_farmer_from_bandit_village_4:farmer_from_bandit_village_5|Я ходил, но люди нашего лорда не дали мне его видеть. Говорят, он занят более важными делами и мы должны сами решить свою проблему. Пожалуйста, {сир/мадам}, вы выглядите как {доблестный человек/доблестная дама}, грозный воин и, не сомневаюсь, у вас множество друзей и солдат на службе. Если кто и может нам помочь, так только вы!
dlga_farmer_from_bandit_village_5:farmer_from_bandit_village_accepted|Хорошо, я помогу вам. Где ваша деревня?
dlga_farmer_from_bandit_village_5:farmer_from_bandit_village_denied|У меня сейчас другие заботы.
dlga_farmer_from_bandit_village_5:farmer_from_bandit_village_barter|А с чего бы мне с ними драться? Что это мне даст?
dlga_farmer_from_bandit_village_accepted:close_window|Да благословит вас Господь, {сир/мадам}. Наша деревня {s7}. Она не очень далеко отсюда.
dlga_farmer_from_bandit_village_denied:close_window|Эх, ну что ж, {сир/мадам}... Извиняйте тогда.
dlga_farmer_from_bandit_village_barter:farmer_from_bandit_village_5|Мы народ небогатый, {сир/мадам}, да бандиты-кровопийцы проклятущие все почти поотбирали. Но что есть - всем поделимся, не сомневайтесь! Всю жизнь будем за вас бога молить.
dlga_start:close_window.37|Спасибо, что помогаете нам, {сир/мадам}. Задайте тем бандитам!
dlga_start:mercenary_tavern_talk|Вам нужны наемники, {сир/мадам}? {reg3?Я и {reg4?{reg3} моих товарищей:один из моих товарищей} ищем:я ищу} хозяина. Мы готовы присоединиться к вам за {reg5} динар.
dlga_start:mercenary_after_recruited|Приказания, {сир/мадам}?
dlga_mercenary_after_recruited:mercenary_after_recruited_2|Готовьтесь. Выходим на рассвете.
dlga_mercenary_after_recruited:mercenary_after_recruited_2.1|Можно не торопиться. Пока мы из города никуда не пойдем.
dlga_mercenary_after_recruited_2:close_window|Слушаюсь, {сир/мадам}. Как только скажете, мы будем готовы.
dlga_mercenary_tavern_talk:mercenary_tavern_talk_hire|Хорошо. Я возьму в отряд всех вас. Мне на вас {reg5} динар не жалко.
dlga_mercenary_tavern_talk:mercenary_tavern_talk_hire.1|Хорошо. Но я могу нанять лишь {reg6} из вас. Вот {reg5} динар.
dlga_mercenary_tavern_talk_hire:close_window|{s17}
dlga_mercenary_tavern_talk:tavern_mercenary_cant_lead|Звучит неплохо. Но сейчас я не могу позволить себе нанять людей.
dlga_tavern_mercenary_cant_lead:close_window|Обидно, ничего не скажешь. Ну что, {reg3?мы будем:я буду} поблизости тут некоторое время, если вдруг надумаете кого-нибудь нанять.
dlga_mercenary_tavern_talk:tavern_mercenary_cant_lead.1|Звучит неплохо. Но сейчас я не могу взять еще людей.
dlga_mercenary_tavern_talk:close_window|Прошу прощения. Мне сейчас не нужны новые люди.
dlga_start:trainer_intro_1|Добрый тебе день, {парень/девчушка}. Приключений ищешь? Судьбу за хвост тянешь? Эх, поверь мне на слово, ты здесь долго не проживешь, если не будешь знать, как выбраться из неприятной ситуации.
dlga_trainer_intro_1:trainer_intro_2|Спасибо за совет. Это место выглядит, как тренировочная площадка. Может быть, я могу что-нибудь узнать тут о боях?
dlga_trainer_intro_2:trainer_intro_3|Конечно, можешь. Я старый солдат. Вся моя жизнь прошла в сражениях. А здесь я натаскиваю зеленых новичков. Я подберу тебе партнеров для тренировки, если хочешь. А если у тебя вопросы о военной науке, так не стесняйся, спрашивай.
dlga_trainer_intro_3:trainer_intro_4a|Да, у меня есть несколько вопросов.
dlga_trainer_intro_3:trainer_intro_4b|Вообще-то, я уже могу перейти к практике.
dlga_trainer_intro_4a:trainer_talk_combat|Ну, спрашивай, что хочешь.
dlga_trainer_intro_4b:trainer_practice_1|Хорошо. Приятно видеть твое стремление к победе. Давай-ка посмотрим, что ты можешь.
dlga_start:trainer_practice_1|Это был хороший бой.
dlga_start:trainer_practice_1.1|Ха! Что это ты вдруг прихрамываешь? Не переживай, поражения так же ценны как и победы, ежели учиться на них умеючи. Переведи дух и возвращайся. Других способов победить не существует.
dlga_start:trainer_talk|Добрый день. Хочешь потренироваться?
dlga_trainer_pretalk:trainer_talk|Эй, как насчет тренировки?
dlga_trainer_talk:trainer_practice_1|Немного практики мне бы не помешало.
dlga_trainer_talk:trainer_combat_begin|Для начала расскажите мне что-нибудь о боях...
dlga_trainer_talk:close_window|Мне пора идти. Прощайте.
dlga_trainer_combat_begin:trainer_talk_combat|Что ты хочешь узнать?
dlga_trainer_combat_pretalk:trainer_talk_combat|Что еще ты хочешь узнать?
dlga_trainer_talk_combat:trainer_explain_defense|Расскажите мне, как защищаться.
dlga_trainer_talk_combat:trainer_explain_attack|Расскажите мне о нападении с оружием.
dlga_trainer_talk_combat:trainer_explain_horseback|Расскажите, как драться с седла.
dlga_trainer_talk_combat:trainer_pretalk|Думаю, всю теорию я уже знаю. Давайте поговорим о чем-нибудь другом.
dlga_trainer_explain_defense:trainer_explain_defense_2|Хороший вопрос. Первое, чему нужно научиться, это правильная защита. Уберечься от ран самому гораздо важнее, чем нанести вред другим. На авось махать мечом любой может, только ведь надо не только людей вокруг поубивать, но и живым из боя выйти.
dlga_trainer_explain_defense_2:trainer_explain_defense_3|Так вот. Защищаться проще всего, если у тебя есть щит. Просто ставь блок щитом. [Удерживайте правую кнопку мыши, чтобы поставить блок щитом]. В такой ситуации ты сможешь отразить все атаки, идущие спереди. Однако твои фланги и твой тыл по-прежнему неприкрыты.
dlga_trainer_explain_defense_3:trainer_explain_defense_4|Что делать, если у меня нет щита?
dlga_trainer_explain_defense_4:trainer_combat_pretalk|Тогда блокируй оружие соперника собственным оружием. Это немного сложнее, чем защищаться со щитом. Оружием ты можешь поставить блок лишь от ОДНОЙ атаки. То есть, ты ставишь верхний блок, боковые блоки, либо блокируешь выпад. А потому нужно внимательнее следить за соперником: начинай блокировать удар только ПОСЛЕ того, как твой противник начнет атаку. Так ты поставишь нужный для такой атаки блок. Если же ты начнешь ДО того, как начнет движение твой противник, он успеет изменить направление удара, и твой блок не поможет.
dlga_trainer_explain_attack:trainer_explain_attack_2|Хороший вопрос. Говорят, нападение - лучшая защита. Многие бойцы предпочитают встать в атакующую стойку и приготовить оружие к удару. Тогда остается дождаться подходящего момента и завершить удар. [Чтобы приготовить оружие к атаке, нажмите и удерживайте левую кнопку мыши.]
dlga_trainer_explain_attack_2:trainer_explain_attack_3|Думаю, мне это пригодится.
dlga_trainer_explain_attack_3:trainer_explain_attack_4|Это хорошая тактика, но помни, твой противник может увидеть это и заранее поставить блок против твоего удара. Если это произойдет, нужно прерывать атаку и быстро атаковать с другого направления. [Чтобы отменить текущую атаку, щелкните правой кнопкой мыши].
dlga_trainer_explain_attack_4:trainer_explain_attack_5|Если мой противник ставит защиту в том направлении, в котором я атакую, я прерываю удар и бью по-другому.
dlga_trainer_explain_attack_5:trainer_combat_pretalk|Да, выбрать, куда бить - это важнейшее умение. Основных направлений четыре: удар справа, удар слева, удар сверху и выпад. [По умолчанию, чтобы контролировать направление удара, передвиньте мышь в направлении, с которого нужно начать удар, удерживая левую кнопку мыши].
dlga_trainer_explain_horseback:trainer_combat_pretalk|Отличный вопрос. Конь может стать самым могучим оружием воина во время битвы. Он дает скорость, высоту, силу и инициативу. Разные виды оружия становятся еще более смертоносными в руках верхового. Однако особое внимание надо уделить конникам с копьями наперевес: они могут сразить любого соперника одним ударом. [Чтобы использовать копье, взятое наперевес, возьмите в руку копье или иное аналогичное оружие и поднимите коня в галоп, не нажимая клавиш атаки и защиты. Когда вы достигните необходимой скорости, копье опустится. Теперь попытайтесь нацелиться на своих врагов, управляя только конем.]
dlga_trainer_practice_1:trainer_practice_1|Я обучаю новичков на четырех уровнях, каждый сложнее предыдущего. Чтобы завершить один уровень и продвинуться на следующий, тебе нужно будет выиграть три боя подряд.
dlga_trainer_practice_1:novicemaster_are_you_ready|У тебя за плечами все ступени обучения. Но если хочешь, можешь попрактиковаться еще. Попробуешь?
dlga_trainer_practice_1:trainer_practice_1.1|Хорошо, {парень/девочка}. Благодаря этой победе ты проходишь на следующий уровень тренировок. Отныне твои противники - умелые бойцы, а не голодранцы, так что держись.
dlga_trainer_practice_1:trainer_practice_1.2|Отлично, {парень/девочка}. Добро пожаловать на третий уровень тренировок. Теперь твоими соперниками будут бойцы-ветераны - профессиональные солдаты, аренные бойцы и тому подобные. Эти ребята знают множество уловок и хитростей, так что защищайся как следует.
