str_no_string|НЕТ СТРОК!
str_i_have_a_score_to_settle_with_the_lord_there| Мне нужно разобраться с тамошним лордом.
str_i_am_thinking_of_settling_an_old_score| Я намерен разобраться со старым делом.
str_i_am_short_of_money_and_i_hear_that_there_is_much_wealth_there| Мне не хватает денег, а там, как я слышал, много богатств.
str_i_need_to_refill_my_purse_preferably_with_the_enemys_money| Мне нужно пополнить кошелек, и лучше всего деньгами врага.
str_by_striking_at_the_enemys_richest_lands_perhaps_i_can_draw_them_out_to_battle| Возможно, мне удастся выманить врага на бой, нанеся удар по его богатейшим землям.
str_i_am_thinking_of_going_on_the_attack| Я собираюсь пойти в атаку.
str_perhaps_if_i_strike_one_more_blow_we_may_end_this_war_on_our_terms_| Если я нанесу еще один удар, то, пожалуй, мы завершим эту войну на наших условиях.
str_we_may_be_able_to_bring_this_war_to_a_close_with_a_few_more_blows| Еще несколько удачных нападений, и мы завершим эту войну.
str_i_wish_to_attend_the_feast_there| Я хочу посетить тамошний праздник.
str_there_is_a_feast_which_i_wish_to_attend| Там проводится праздник, который я желаю посетить.
str_there_is_a_fair_lady_there_whom_i_wish_to_court| Там находится прекрасная дама, за которой я хочу поухаживать.
str_i_have_the_inclination_to_pay_court_to_a_fair_lady| Мне хочется поухаживать за прекрасной дамой.
str_we_have_heard_reports_that_the_enemy_is_in_the_area| Согласно донесениям, в этом районе находится враг.
str_i_have_heard_reports_of_enemy_incursions_into_our_territory| Согласно донесениям, враг вторгся на нашу территорию.
str_i_need_to_spend_some_time_with_my_household| Мне необходимо некоторое время провести в своем хозяйстве.
str_it_has_been_a_long_time_since_i_have_been_able_to_spend_time_with_my_household| Я давно не занимаюсь своим хозяйством.
str_i_am_watching_the_borders| Я охраняю границы.
str_i_may_be_needed_to_watch_the_borders| Я могу потребоваться для охраны границ.
str_i_will_guard_the_areas_near_my_home| Я буду охранять границы у моего дома...
str_i_am_perhaps_needed_most_at_home| Наверное, дома сейчас ждут моей помощи.
str_i_cant_think_of_anything_better_to_do| Не могу представить себе лучшей задачи...
str_i_am_completing_what_i_have_already_begun| Я завершаю то, что было начато.
str_i_dont_even_have_a_home_to_which_to_return| У меня даже нет дома, куда было бы можно вернуться.
str__i_am_acting_independently_because_no_marshal_is_appointed| Я действую самостоятельно, поскольку маршал не назначен.
str__i_am_acting_independently_because_our_marshal_is_currently_indisposed| Я действую самостоятельно, поскольку наш маршал в настоящее время недееспособен.
str__i_am_acting_independently_because_our_realm_is_currently_not_on_campaign| Я действую самостоятельно, потому что наше государство не вовлечено в военную кампанию.
str__i_am_not_accompanying_the_marshal_because_i_fear_that_he_may_lead_us_into_disaster| Я не сопровождаю маршала, поскольку считаю, что он может привести нас к несчастью.
str_i_am_not_accompanying_the_marshal_because_i_question_his_judgment| Я не сопровождаю маршала, поскольку не доверяю его решению.
str_i_am_not_accompanying_the_marshal_because_i_can_do_greater_deeds| Я не сопровождаю маршала, поскольку могу совершить нечто более великое.
str__s16_has_kept_us_on_campaign_on_far_too_long_and_there_are_other_pressing_matters_to_which_i_must_attend| Из-за {s16} мы слишком долго ведем эту кампанию, а ведь у меня имеются и другие насущные дела.
str__i_am_not_participating_in_the_marshals_campaign_because_i_do_not_know_where_to_find_our_main_army| Я не участвую в кампании маршала, потому что не знаю, где находится наша главная армия.
str__i_am_acting_independently_although_some_enemies_have_been_spotted_within_our_borders_they_havent_come_in_force_and_the_local_troops_should_be_able_to_dispatch_them| Я действую самостоятельно. У наших границ были замечены вражеские отряды, но они немногочисленны, и местные войска вполне могут справиться с ними сами.
str__the_needs_of_the_realm_must_come_first| Потребности государства превыше всего.
str_we_are_likely_to_be_overwhelmed_by_the_s9_let_each_defend_their_own| Скорее всего мы будем разгромлены {s9}. Пусть каждый защищается сам по себе.
str_we_should_see_this_siege_through| Мы должны увидеть результат этой осады.
str_we_should_prepare_to_defend_s21_but_we_should_gather_our_forces_until_we_are_strong_enough_to_engage_them| Мы должны подготовиться к защите {s21}, но для этого нам потребуется собрать достаточно сильные войска.
str_we_should_prepare_to_defend_s21_but_first_we_have_to_gather| Мы должны подготовиться к защите {s21}, но для начала мы должны собрать армию.
str_we_should_ride_to_break_the_siege_of_s21| Мы должны совершить набег и снять осаду c {s21}.
str_we_should_ride_to_defeat_the_enemy_gathered_near_s21| Мы должны совершить набег на врага, находящегося поблизости от {s21}.
str_we_have_located_s21s_army_and_we_should_engage_it| Мы установили местонахождение армии {s21}, и нам нужно сразиться с ней.
str_this_offensive_needs_to_wind_down_soon_so_the_vassals_can_attend_to_their_own_business| Эта наступательная кампания должна скоро закончиться, чтобы вассалы смогли заняться своими делами.
str_the_vassals_are_tired_we_let_them_rest_for_some_time| Вассалы устали от войны. Мы должны предоставить им время на отдых.
str_the_vassals_still_need_time_to_attend_to_their_own_business| Вассалам все еще нужно время для того, чтобы разобраться со своими делами.
str_it_is_time_to_go_on_the_offensive_and_we_must_first_assemble_the_army| Пора переходить в наступление, но для начала мы должны собрать армию.
str_we_must_continue_to_gather_the_army_before_we_ride_forth_on_an_offensive_operation| Мы собрали лишь несколько вассалов. Нам нужно собрать армию побольше, и только затем переходить в наступление.
str_there_is_no_need_to_beat_around_the_borders__we_can_take_one_of_their_important_towns| Не обязательно сражаться у границ, ведь мы можем захватить один из главных городов врага.
str_we_should_exploit_our_success_over_s21_by_seizing_one_of_their_fortresses| Мы должны упрочить свои успехи, захватив у {s21} одну из крепостей.
str_we_shall_leave_a_fiery_trail_through_the_heart_of_the_enemys_lands_targeting_the_wealthy_settlements_if_we_can| Мы оставим кровавый след в сердце вражеских земель, по возможности нанося удары по богатым поселениям.
str_the_army_will_be_disbanded_because_we_have_been_waiting_too_long_without_a_target| Армия будет распущена, потому что мы слишком долго ждали без цели.
str_it_is_time_for_the_feast_to_conclude| Пора празднику закончиться.
str_we_should_continue_the_feast_unless_there_is_an_emergency| Если нет чрезвычайных обстоятельств, то мы должны продолжать праздник.
str_you_had_wished_to_hold_a_feast| Мне захотелось провести праздник.
str_your_wedding_day_approaches_my_lady| День вашего бракосочетания приближается, миледи.
str_your_wedding_day_approaches| День вашего бракосочетания приближается.
str_s22_and_s23_wish_to_marry| {s22} и {s23} пожелали пожениться.
str_it_has_been_a_long_time_since_the_lords_of_the_realm_gathered_for_a_feast| Давно лорды этого государства не собирались на праздник.
str_the_circumstances_which_led_to_this_decision_no_longer_apply_so_we_should_stop_and_reconsider_shortly| Обстоятельства, требовавшие этого решения, изменились, так что нам следует остановиться и принять новое решение.
str_s15_is_at_war_with_s16_|{s15} воюет с {s16}.
str_in_the_short_term_s15_has_a_truce_with_s16_as_a_matter_of_general_policy_|В ближайшее время {s15} заключит перемирие с {s16}. Это вопрос общей политики.
str_in_the_short_term_s15_was_recently_provoked_by_s16_and_is_under_pressure_to_declare_war_as_a_matter_of_general_policy_|Недавно {s16} спровоцировал {s15}, вынуждая его объявить войну. Что же касается общей политики,
str_s12s15_cannot_negotiate_with_s16_as_to_do_so_would_undermine_reg4herhis_own_claim_to_the_throne_this_civil_war_must_almost_certainly_end_with_the_defeat_of_one_side_or_another|{s12}{s15} не может вести переговоров с {s16}, поскольку это подорвет {reg4?ее:его} собственные притязания на трон. Эта гражданская война определенно закончится поражением одной из сторон
str_s12s15_considers_s16_to_be_dangerous_and_untrustworthy_and_shehe_wants_to_bring_s16_down|{s12}{s15} считает {s16} опасным и недостойным доверия, поэтому {reg4?она:он} хочет подчинить себе {s16}
str_s12s15_is_anxious_to_reclaim_old_lands_such_as_s18_now_held_by_s16|{s12}{s15} желает завладеть своими старыми землями, такими как {s18}, ныне находящимися в руках у {s16}
str_s12s15_feels_that_reg4shehe_is_winning_the_war_against_s16_and_sees_no_reason_not_to_continue|{s12}{s15} считает, что {reg4?она:он} побеждает в войне против {s16}, и не видит причин прекращать ее
str_s12s15_faces_too_much_internal_discontent_to_feel_comfortable_ignoring_recent_provocations_by_s16s_subjects|{s12}{s15} слишком часто сталкивается с внутренним недовольством, чтобы не обращать внимания на недавние провокации подданных {s16}
str_s12even_though_reg4shehe_is_fighting_on_two_fronts_s15_is_inclined_to_continue_the_war_against_s16_for_a_little_while_longer_for_the_sake_of_honor|{s12}Даже сражаясь на два фонта, ради своей чести {s15} {reg4?намерена:намерен} продолжать войну против {s16} еще некоторое время
str_s12s15_feels_that_reg4shehe_must_pursue_the_war_against_s16_for_a_little_while_longer_for_the_sake_of_honor|{s12}{s15} полагает, что ради своей чести {reg4?ей:ему} необходимо продолжать войну против {s16} еще некоторое время
str_s12s15_is_currently_on_the_offensive_against_s17_now_held_by_s16_and_reluctant_to_negotiate|{s12}{s15} в настоящее время находится в наступлении на {s17}, что ныне удерживает {s16}, и нежелает вести переговоры
str_s12s15_is_alarmed_by_the_growing_power_of_s16|{s12}{s15} тревожит растущая власть {s16}
str_s12s15_distrusts_s16_and_fears_that_any_deals_struck_between_the_two_realms_will_not_be_kept|{s12}{s15} не доверяет {s16} и опасается, что любая договоренность между двумя государствами будет нарушена
str_s12s15_is_at_war_on_too_many_fronts_and_eager_to_make_peace_with_s16|{s12}{s15} ведет войну сразу на несколько фронтов и желает заключить мир с {s16}
str_s12s15_seems_to_think_that_s16_and_reg4shehe_have_a_common_enemy_in_the_s17|{s12}{s15}, кажется, считает, что у {s16} с {reg4?ней:ним} общий враг, {s17}
str_s12s15_feels_frustrated_by_reg4herhis_inability_to_strike_a_decisive_blow_against_s16|{s12}{s15} укоряет себя в неспособности нанести решающий удар {s16}
str_s12s15_has_suffered_enough_in_the_war_with_s16_for_too_little_gain_and_is_ready_to_pursue_a_peace|{s12}{s15} страдает в войне с {s16} ввиду того, что слишком мало приобретений и желает заключить мир
str_s12s15_would_like_to_firm_up_a_truce_with_s16_to_respond_to_the_threat_from_the_s17|{s12}{s15} хотел бы заключить длительное перемирие с {s16} в ответ на угрозу со стороны {s17}
str_s12s15_wishes_to_be_at_peace_with_s16_so_as_to_pursue_the_war_against_the_s17|{s12}{s15} желает заключить мир с {s16}, чтобы вести войну против {s17}
str_s12s15_seems_to_be_intimidated_by_s16_and_would_like_to_avoid_hostilities|{s12}{s15}, кажется, принимает всерьез угрозы {s16} и желает избежать военных действий
str_s12s15_has_no_particular_reason_to_continue_the_war_with_s16_and_would_probably_make_peace_if_given_the_opportunity|{s12}{s15} не имеет особых причин для продолжения войны с {s16}, и, вероятно, заключит мир, если представится возможность
str_s12s15_seems_to_be_willing_to_improve_relations_with_s16|{s12}{s15}, похоже, желает улучшить отношения с {s16}
str_excuse_me_how_can_you_possibly_imagine_yourself_worthy_to_marry_into_our_family|Простите, что? И как вам только пришло в голову, что вы достойны стать членом нашего семейства?!
str_em_with_regard_to_her_ladyship_we_were_looking_specifically_for_a_groom_of_some_distinction_fight_hard_count_your_dinars_and_perhaps_some_day_in_the_future_we_may_speak_of_such_things_my_good_man|Хм... Ее милости мы ищем жениха, занимающего определенное положение в обществе. Доблестно сражайтесь, копите динары и, возможно, однажды мы еще вернемся к этому вопросу, уважаемый!
str_em_with_regard_to_her_ladyship_we_were_looking_specifically_for_a_groom_of_some_distinction|Хм... Ее милости мы ищем жениха, занимающего определенное положение в обществе.
str_it_is_too_early_for_you_to_be_speaking_of_such_things_you_are_still_making_your_mark_in_the_world|Сейчас еще рано говорить об этом. Вы еще не показали, на что способны.
str_you_dont_serve_the_s4_so_id_say_no_one_day_we_may_be_at_war_and_i_prefer_not_to_have_to_kill_my_inlaws_if_at_all_possible|Вы не служите {s4}, поэтому я скажу нет. Может случиться так, что мы станем воевать друг с другом, а я, по возможности, не желаю убивать своих родственников.
str_as_you_are_not_a_vassal_of_the_s4_i_must_decline_your_request_the_twists_of_fate_may_mean_that_we_will_one_day_cross_swords_and_i_would_hope_not_to_make_a_widow_of_a_lady_whom_i_am_obligated_to_protect|Поскольку вы не вассал {s4}, я должен отказать вам. Превратности судьбы таковы, что однажды нам придется скрестить мечи, а я не желаю видеть вдовой даму, которую обязан защищать.
str_as_you_are_not_a_pledged_vassal_of_our_liege_with_the_right_to_hold_land_i_must_refuse_your_request_to_marry_into_our_family|Вы не давали вассальную клятву нашему сюзерену и не имеете права владеть землей, поэтому я должен отказать вам в просьбе руки представительницы нашего семейства.
str_look_here_lad__the_young_s14_has_been_paying_court_to_s16_and_youll_have_to_admit__hes_a_finer_catch_for_her_than_you_so_lets_have_no_more_of_this_talk_shall_we|Послушайте, уважаемый, - юный {s14} уже некоторое время ухаживает за {s16}, и вы сами должны признать, что ей он более подходящая пара, нежели вы. Так что не будем больше заводить речь об этом, договорились?
str_i_do_not_care_for_you_sir_and_i_consider_it_my_duty_to_protect_the_ladies_of_my_household_from_undesirable_suitors|Мне нет до вас никакого дела, и я считаю своей обязанностью охранять дам моего семейства от посягательства нежелательных ухажеров...
str_hmm_young_girls_may_easily_be_led_astray_so_out_of_a_sense_of_duty_to_the_ladies_of_my_household_i_think_i_would_like_to_get_to_know_you_a_bit_better_we_may_speak_of_this_at_a_later_date|Хмм... Молоденьким девушкам легко вскружить голову, так что из чувства долга по отношению к дамам моего семейства я должен узнать вас получше. Можем поговорить об этом позднее.
str_you_may_indeed_make_a_fine_match_for_the_young_mistress|Вы и в самом деле подходящая пара для молодой госпожи.
str_madame__given_our_relations_in_the_past_this_proposal_is_most_surprising_i_do_not_think_that_you_are_the_kind_of_woman_who_can_be_bent_to_a_hushands_will_and_i_would_prefer_not_to_have_our_married_life_be_a_source_of_constant_acrimony|Мадам, учитывая наши отношения в прошлом, это весьма неожиданное предложение. Мне кажется, что вы не из тех женщин, которые склоняется перед волей мужа, и мне бы не хотелось, чтобы наша совместная жизнь была постоянным источником трений.
str_i_would_prefer_to_marry_a_proper_maiden_who_will_obey_her_husband_and_is_not_likely_to_split_his_head_with_a_sword|Мне бы хотелось вступать в брак с истинной дамой, которая будет подчинятся своему мужу и не способна разрубить ему голову мечом.
str_my_lady_while_i_admire_your_valor_you_will_forgive_me_if_i_tell_you_that_a_woman_like_you_does_not_uphold_to_my_ideal_of_the_feminine_of_the_delicate_and_of_the_pure|Миледи, я восхищаюсь вашей доблестью и вашей красотой, но, надеюсь, вы простите меня, если я скажу вам, что вы не соответствуете моему идеалу жены: женственность, нежность и чистота.
str_nah_i_want_a_woman_wholl_keep_quiet_and_do_what_shes_told_i_dont_think_thats_you|Не-а. Мне нужна спокойная женщина, которая будет молчать и делать то, что ей говорят. Мне не кажется, что вы из таких.
str_my_lady_you_are_possessed_of_great_charms_but_no_properties_until_you_obtain_some_to_marry_you_would_be_an_act_of_ingratitude_towards_my_ancestors_and_my_lineage|Миледи, вы невероятно очаровательны, но, к сожалению, лишены собственности. Пока вы не получите владений, брак с вами был бы проявлением неблагодарности по отношению к моим предкам и к моей родословной.
str_my_lady_you_are_a_woman_of_no_known_family_of_no_possessions__in_short_a_nobody_do_you_think_that_you_are_fit_to_marry_into_may_family|Миледи, вы женщина неизвестного происхождения, без владений - словом, никто. Вы и в самом деле считаете, что достойны войти в мою семью?
str_my_lady__forgive_me__the_quality_of_our_bond_is_not_of_the_sort_which_the_poets_tell_us_is_necessary_to_sustain_a_happy_marriage|Миледи, прошу простить меня, но природа наших отношений не того рода, который, как утверждают поэты, необходим для счастливого брака.
str_um_i_think_that_if_i_want_to_stay_on_s4s_good_side_id_best_not_marry_you|Сдается мне, что если я хочу сохранить хорошие отношения с {s4}, мне лучше не жениться на вас.
str_you_serve_another_realm_i_dont_see_s4_granting_reg4herhis_blessing_to_our_union|Вы служите другому государству. Не думаю, что {s4} благословит наш союз.
str_madame_my_heart_currently_belongs_to_s4|Мадам, в настоящее время мое сердце принадлежит {s4}.
str_my_lady_you_are_a_woman_of_great_spirit_and_bravery_possessed_of_beauty_grace_and_wit_i_shall_give_your_proposal_consideration|Миледи, вы женщина великой чести и доблести, вы обладаете красотой, грацией и умом. Я обдумаю ваше предложение.
str_my_lady_you_are_a_woman_of_great_spirit_and_bravery_possessed_of_beauty_grace_and_wit_i_would_be_most_honored_were_you_to_become_my_wife|Миледи, вы женщина великой чести и доблести, вы обладаете красотой, грацией и умом. Я сочту за честь, если вы станете моей женой.
str_ah__kais_and_layali__such_a_sad_tale_many_a_time_has_it_been_recounted_for_my_family_by_the_wandering_poets_who_come_to_our_home_and_it_has_never_failed_to_bring_tears_to_our_eyes|Ах, Каис и Лайяли", грустная история! В моей семье ее часто читали бродячие поэты, посещавшие наш дом. И всякий раз у нас на глазах выступали слезы."
str_kais_and_layali_three_hundred_stanzas_of_pathetic_sniveling_if_you_ask_me_if_kais_wanted_to_escape_heartbreak_he_should_have_learned_to_live_within_his_station_and_not_yearn_for_what_he_cannot_have|Каис и Лайяли? Триста строф жалобных соплей - так я полагаю. Если Каис не хотел умереть от разрыва сердца, то ему следовало довольствоваться тем, что у него есть, и не желать недостижимого."
str_kais_and_layali_no_one_should_ever_have_written_such_a_sad_poem_if_it_was_the_destiny_of_kais_and_layali_to_be_together_than_their_love_should_have_conquered_all_obstacles|Каис и Лайяли? В чем вообще смысл такой поэмы? Если бы Каису и Лайяли было суждено остаться вместе, их любовь преодолела бы все преграды!"
str_ah_kais_and_layali_a_very_old_standby_but_moving_in_its_way|А, Каис и Лайяли"! Старомодное произведение, но по-своему трогательное."
str_the_saga_of_helgered_and_kara_such_happy_times_in_which_our_ancestors_lived_women_like_kara_could_venture_out_into_the_world_like_men_win_a_name_for_themselves_and_not_linger_in_their_husbands_shadow|Сага об Эльгереде и Каре? Наши предки жили в такие счастливые времена! Женщины вроде Кары могли смело исследовать мир наряду с мужчинами и имели возможность заслужить себе славу, не прячась в тени мужа."
str_ah_the_saga_of_helgered_and_kara_now_there_was_a_lady_who_knew_what_she_wanted_and_was_not_afraid_to_obtain_it|А, Сага об Эльгереде и Каре"! Вот была дама, которая знала, чего хочет, и не боялась получить этого."
str_the_saga_of_helgered_and_kara_a_terrible_tale__but_it_speaks_of_a_very_great_love_if_she_were_willing_to_make_war_on_her_own_family|Сага об Эльгереде и Каре? Ужасная история, но она повествует о поистине великой любви, ведь ради нее Кара была готова пойти войной против своего семейства."
str_the_saga_of_helgered_and_kara_as_i_recall_kara_valued_her_own_base_passions_over_duty_to_her_family_that_she_made_war_on_her_own_father_i_have_no_time_for_a_poem_which_praises_such_a_woman|Сага об Эльгереде и Каре? Насколько я помню, Кара ставила свои низменные страсти выше долга перед своим семейством, вплоть до того, что пошла войной на отца. Я не хочу тратить свое время на поэму, прославляющую такую женщину!"
str_the_saga_of_helgered_and_kara_how_could_a_woman_don_armor_and_carry_a_sword_how_could_a_man_love_so_ungentle_a_creature|Сага об Эльгереде и Каре? Разве может женщина облачаться в доспехи и брать в руки меч? И какой мужчина полюбит такое грубое создание?"
str_a_conversation_in_the_garden_i_cannot_understand_the_lady_in_that_poem_if_she_loves_the_man_why_does_she_tease_him_so|Беседа в саду? Не понимаю я дамы из этой поэмы. Если она любит мужчину, то зачем ей его так дразнить?"
str_a_conversation_in_the_garden_let_us_see__it_is_morally_unedifying_it_exalts_deception_it_ends_with_a_maiden_surrendering_to_her_base_passions_and_yet_i_cannot_help_but_find_it_charming_perhaps_because_it_tells_us_that_love_need_not_be_tragic_to_be_memorable|Беседа в саду? Так, посмотрим - морали нет, прославляет обман, в конце женщина поддается своим низменным страстям... Но все же я нахожу ее очаровательной. Наверное потому, что она говорит о том, что любовь не обязательно должна быть трагической."
str_a_conversation_in_the_garden_now_that_is_a_tale_every_lady_should_know_by_heart_to_learn_the_subtleties_of_the_politics_she_must_practice|Беседа в саду? Такую поэму каждая дама должна выучить наизусть, чтобы познать все хитрости обольщения."
str_a_conversation_in_the_garden_it_is_droll_i_suppose__although_there_is_nothing_there_that_truly_stirs_my_soul|Беседа в саду? Смешная, полагаю, - хотя в ней нет ничего, что тронуло бы мое сердце."
str_storming_the_fortress_of_love_ah_yes_the_lady_sits_within_doing_nothing_while_the_man_is_the_one_who_strives_and_achieves_i_have_enough_of_that_in_my_daily_life_why_listen_to_poems_about_it|Штурм Замка Любви? Ах, да. Дама сидит и ничего не делает, пока мужчина чего-то добивается и получает. Мне этого хватает и в повседневной жизни. Зачем еще слушать поэму об этом?"
str_storming_the_fortress_of_love_ah_yes_an_uplifting_tribute_to_the_separate_virtues_of_man_and_woman|Штурм Замка Любви? Ах, да. Воодушевляющее произведение, которое говорит о том, что добродетель мужчины и добродетель женщины различны."
str_storming_the_fortress_of_love_ah_yes_but_although_it_is_a_fine_tale_of_virtues_it_speaks_nothing_of_passion|Штурм Замка Любви? Ах, да. Изящная история о добродетели, но о страстях там ни слова!"
str_storming_the_fortress_of_love_ah_a_sermon_dressed_up_as_a_love_poem_if_you_ask_me|Штурм Замка Любви? А... Проповедь под маской любовной поэмы - таково мое мнение."
str_a_hearts_desire_ah_such_a_beautiful_account_of_the_perfect_perfect_love_to_love_like_that_must_be_to_truly_know_rapture|Желание сердца? Прекрасное повествование о совершенной любви! Любовь такого рода - истинное просветление души!"
str_a_hearts_desire_silly_if_you_ask_me_if_the_poet_desires_a_lady_then_he_should_endeavor_to_win_her__and_not_dress_up_his_desire_with_a_pretense_of_piety|Желание сердца? По-моему, просто глупость. Если поэт мечтает о даме, то ему нужно попытаться завоевать ее, а не скрывать свои желания под маской благочестия!"
str_a_hearts_desire_hmm__it_is_an_interesting_exploration_of_earthly_and_divine_love_it_does_speak_of_the_spiritual_quest_which_brings_out_the_best_in_man_but_i_wonder_if_the_poet_has_not_confused_his_yearning_for_higher_things_with_his_baser_passions|Желание сердца? Хмм... Интересное исследование о любви земной и любви небесной. Оно повествует о духовных поисках, подчеркивающих в человеке все самое лучшее. Только вот интересно, не перепутал ли поэт желание обрести просветление со своими низменными страстями?"
str_a_hearts_desire_oh_yes__it_is_very_worthy_and_philosophical_but_if_i_am_to_listen_to_a_bard_strum_a_lute_for_three_hours_i_personally_prefer_there_to_be_a_bit_of_a_story|Желание сердца? Ах, да... очень достойная философическая поэма. Но если я хочу, чтобы бард тренькал на своей лютне передо мной часа три, то лучше бы там было побольше событий."
str_reg3_units_of_s4_for_reg5_guests_and_retinue|{reg3} единиц {s4} для {reg5} гостей и свиты
str_reg3_units_of_spice_of_reg5_to_be_consumed|Будет использовано {reg3} мер специй {reg5}
str_reg3_units_of_oil_of_reg5_to_be_consumed|Будет использовано {reg3} мер масла {reg5}
str_of_food_which_must_come_before_everything_else_the_amount_is_s8|Что до самой насущной пищи, то ее количество можно оценить как {s8}
str_s9_and_the_variety_is_s8_|{s9} и ее разнообразие как {s8}.
str_s9_of_drink_which_guests_will_expect_in_great_abundance_the_amount_is_s8|{s9}Что до напитков, которых гости ожидают, то их количество {s8}
str_s9_of_spice_which_is_essential_to_demonstrate_that_we_spare_no_expense_as_hosts_the_amount_is_s8_|{s9}Что до специй, которыми мы покажем нашу щедрость, то их количество {s8}.
str_s9_of_oil_which_we_shall_require_to_light_the_lamps_the_amount_is_s8|{s9} Что до масла, необходимого для ламп, то его количество {s8}.
str_s9_overall_our_table_will_be_considered_s8|{s9} В целом наш стол оценят как {s8}.
str_rebel|повстанец
str_bandit|разбойник
str_relation_of_prisoner_with_captor_is_reg0|отношение тюремщика с пленником: {reg0}
str_s5_suffers_attrition_reg3_x_s4|{s5} страдает от истощения: {reg3} x {s4}
str_s10_said_on_s1_s11__|{s10} сказал от {s1}: {s11}^^
str_totalling_casualties_caused_during_mission|Подсчет потерь, понесенных при выполнении задания...
str_removing_s4_from_s5|Удаление {s4} из {s5}
str_s4_joins_prison_break|{s4} присоединяется к побегу из тюрьмы
str_helper_is_spawned|объявляется помощник.
str_leaving_area_during_prison_break|Покидает область в ходе побега
str_talk_to_the_trainer|Поговорить с тренером.
str_woman|женщина
str_man|мужчина
str_noble|дворянин
str_common|простолюдин
str_may_find_that_you_are_able_to_take_your_place_among_calradias_great_lords_relatively_quickly|может счесть, что вы способны относительно быстро занять место среди великих лордов Кальрадии
str_may_face_some_difficulties_establishing_yourself_as_an_equal_among_calradias_great_lords|может с некоторым трудом принять мысль о том, что вы станете ровней великим лордам Кальрадии
str_may_face_great_difficulties_establishing_yourself_as_an_equal_among_calradias_great_lords|может с большим трудом принять мысль о том, что вы станете ровней великим лордам Кальрадии
str_current_party_morale_is_reg5_current_party_morale_modifiers_are__base_morale__50_party_size_s2reg1_leadership_s3reg2_food_variety_s4reg3s5s6_recent_events_s7reg4_total__reg5___|Текущее моральное состояние отряда: {reg5}.^Текущие модификаторы морали отряда:^^Основная мораль: +{reg6}^Размер отряда:{s2}{reg1}^Лидерство:{s3}{reg2}^Разнообразие пищи:{s4}{reg3}{s5}{s6}^Недавние события:{s7}{reg4}^ВСЕГО: {reg5}^^^
str_s1extra_morale_for_s9_troops__reg6_|{s1}Дополнительная мораль для воинов {s9}: {reg6}^
str_courtships_in_progress_|Текущие ухаживания:^
str_s1_s2_relation_reg3_last_visit_reg4_days_ago|{s1}^{s2}, отношение {reg3}, последний визит {reg4} дн. назад
str_s1__poems_known|{s1}^^Известные поэмы:
str_s1_storming_the_castle_of_love_allegoric|{s1}^Штурм Замка Любви (аллегорическая)
str_s1_kais_and_layali_tragic|{s1}^Каис и Лайяли (трагическая)
str_s1_a_conversation_in_the_garden_comic|{s1}^Беседа в саду (комическая)
str_s1_helgered_and_kara_epic|{s1}^Эльгеред и Кара (эпическая)
str_s1_a_hearts_desire_mystic|{s1}^Желание сердца (мистическая)
str_no_companions_in_service|На службе нет спутников
str_gathering_support|Сбор поддержки
str_expected_back_imminently|Ожидается скорое возвращение
str_expected_back_in_approximately_reg3_days|Ожидается возвращение примерно через {reg3} дней
str_gathering_intelligence|Сбор информации
str_diplomatic_embassy_to_s9|Дипломатическое посольство в {s9}
str_serving_as_minister|Служит в качестве министра
str_in_your_court_at_s9|При вашем дворе в {s9}
str_under_arms|При оружии
str_in_your_party|В вашем отряде
str_attacking_enemy_army_near_s11|Атакует вражескую армию у {s11}
str_holding_feast_at_s11|Проводит праздник в {s11}
str_s9s10_current_state_s11_hours_at_current_state_reg3_current_strategic_thinking_s14_marshall_s12_since_the_last_offensive_ended_reg4_hours_since_the_decisive_event_reg10_hours_since_the_last_rest_reg9_hours_since_the_last_feast_ended_reg5_hours_percent_disgruntled_lords_reg7_percent_restless_lords_reg8__|{s9}{s10}^Текущее состояние: {s11}^Часов в текущем состоянии: {reg3}^Текущее стратегическое мышление: {s14}^Маршал: {s12}^Со времени последнего наступления: {reg4} час.^С последнего решающего события: {reg10} час.^C последнего отдыха в 18 и более часов: {reg9} час.^С последнего закончившегося праздника: {reg5} часов^Процент недовольных лордов: {reg7}%^Процент беспокойных лордов: {reg8}%^^
str__right_to_rule_reg12|^Право на правление: {reg12}.
str_political_arguments_made_legality_reg3_rights_of_lords_reg4_unificationpeace_reg5_rights_of_commons_reg6_fief_pledges_reg7|Сделано политических аргументов:^Законность: {reg3}^Права лордов: {reg4}^Объединение/мир: {reg5}^Права простолюдинов: {reg6}^Вассальных клятв: {reg7}
str_renown_reg2_honour_rating_reg3s12_friends_s8_enemies_s6_s9|Известность: {reg2}.^Рейтинг чести: {reg3}.{s12}^Друзья: {s8}.^Враги: {s6}.^{s9}
str_you_lie_stunned_for_several_minutes_then_stagger_to_your_feet_to_find_your_s10_standing_over_you_you_have_lost_the_duel|Некоторое время вы лежите, не в силах пошевелиться, затем медленно пытаетесь подняться и видите над собой {s10}. Вы проиграли в поединке.
str_s10_lies_in_the_arenas_dust_for_several_minutes_then_staggers_to_his_feet_you_have_won_the_duel|{s10} некоторое время лежит в пыли арены, затем, пошатываясь, поднимается на ноги. Вы выиграли поединок!
str__this_castle_is_temporarily_under_royal_control| Этот замок временно подчиняется монарху.
str__this_castle_does_not_seem_to_be_under_anyones_control| Похоже, что замок никто не контролирует.
str__this_town_is_temporarily_under_royal_control| Этот город временно подчиняется монарху.
