str_no_string|ŽÁDNÉ ŘETĚZCE!
str_forgive_me_but_im_not_one_for_going_off_in_corners_to_plot|Je mi líto, ale nejsem z těch, kteří někde v koutě spřádají intriky.
str_please_do_not_take_this_amiss_but_i_do_not_trust_you|Nevykládej si to prosím zle, ale nevěřím ti.
str_certainly_playername_what_is_it|Á, {playername}... samozřejmě. O co jde?
str_forgive_me_but_id_prefer_to_keep_our_conversations_in_the_open|Je mi líto, ale preferuji jednání na veřejnosti.
str_please_do_not_take_this_amiss_but_im_not_sure_you_and_i_are_still_on_those_terms|Nevykládej si to prosím zle, ale nemyslím si, že bychom my dva měli ještě stále společné zájmy.
str_really_well_this_is_the_first_i_have_heard_of_it_unless_you_build_up_support_for_that_claim_you_may_find_it_difficult_to_find_allies_however_whenever_you_see_fit_to_declare_yourself_publically_as_queen_i_should_be_honored_to_be_your_consort|Opravdu? Nu, o tom slyším poprvé. Pokud svůj nárok nějak nepodpoříš, budeš jen stěží hledat spojence. Nicméně ať už se necháš jmenovat královnou kdekoli, všude mi bude ctí stát po tvém boku.
str_yes_i_have_heard_such_talk_while_it_is_good_that_you_are_building_up_your_support_i_do_not_think_that_you_are_quite_ready_to_proclaim_yourself_yet_however_i_will_let_you_be_the_judge_of_that_and_when_you_decide_i_should_be_honored_to_be_your_consort|Ano... něco takového už se ke mně doneslo. Přestože už si začínáš získávat podporu, nemám dojem, že se nyní můžeš prohlásit za královnu. Avšak až nadejde ten správný čas, bude mi ctí, budu-li moci stát po tvém boku. 
str_yes_and_many_others_in_calradia_think_so_as_well_perhaps_it_is_time_that_you_declared_yourself_and_we_shall_ride_forth_together_to_claim_your_throne_i_should_be_honored_to_be_your_consort|Ano, a v Calradii si to myslí i mnoho dalších lidí. Možná už nastal čas, aby ses prohlásila za královnu a získala trůn. Bude mi ctí, budu-li moci stát po tvém boku.
str_i_am_disturbed_about_my_lord_s15s_choice_of_companions|Znepokojuje mě, koho si můj pán {s15} zvolil za spojence.
str_well_ill_be_honest_i_feel_that_sometimes_s15_overlooks_my_rights_and_extends_his_protection_to_the_unworthy|Řeknu to upřímně. Cítím, že {s15} občas přehlíží má práva a zaměřuje se na ochranu těch, kteří si ji nezaslouží.
str_heh_one_thing_that_ill_say_about_s15_is_that_he_has_a_ripe_batch_of_bastards_in_his_court|Hehe. Řeknu ti jedno. {s15} na svém dvoře živí pěknou bandu špinavých bastardů.
str_well_sometimes_i_have_to_say_that_i_question_s15s_judgment_regarding_those_who_he_keeps_in_his_court|Musím říct, že se mi občas {s15} a {reg15?její:jeho} názory na lidi, které si na svém dvoře drží, moc nezamlouvají.
str_s15_is_a_weak_man_who_too_easily_lends_his_ear_to_evil_council_and_gives_his_protection_to_some_who_have_done_me_wrong|{s15} je slabý vládce, jenž až příliš často naslouchá zlým jazykům a bere pod svá křídla lidi, kteří mi ukřivdili.
str_i_will_confess_that_sometimes_i_worry_about_s15s_judgment_particularly_in_the_matter_of_the_counsel_that_he_keeps|Musím přiznat, že občas pochybuji o rozsudcích, které {s15} vynáší, zvláště pokud se jedná o záležitosti dvora
str_what_do_i_think_i_think_that_s15_is_a_vile_pretender_a_friend_to_the_flatterer_and_the_hypocrite|Co si o tom myslím? Mám dojem, že {s15} je ztělesněním přetvářky a pokrytectví.
str_well_s15_is_not_like_you_ill_say_that_much|No, {s15} není jako ty, asi tak.
str_s15_long_may_he_live|{s15}? Ať má dlouhý život!
str_he_is_my_liege_that_is_all_that_i_will_say_on_this_matter|Je to můj vládce. Víc ti k tomu nepovím.
str_that_you_are_the_rightful_heir_to_the_throne_of_calradia|Že jsi právoplatným dědicem calradijského trůnu?
str_that_s14_is_the_rightful_ruler_of_calradia|Že je {s14} právoplatným vládcem Calradie?
str_that_s14_will_rule_this_land_justly|Že {s14} bude této zemi vládnout spravedlivě?
str_that_s14_will_protect_our_rights_as_nobles|Že {s14} bude prosazovat práva nás, šlechticů?
str_that_s14_will_unify_this_land_and_end_this_war|Že {s14} sjednotí tuto zemi a ukončí válku?
str_that_s14_will_reward_me_with_a_fief|Že mě {s14} odmění lénem?
str_he|on
str_king|král
str_she|ona
str_queen|královna
str_khan|chán
str_i|já
str_according_to_the_ancient_law_and_custom_of_the_calradians_s45_should_be_s47|Podle dávného práva a calradijských zvyků by {s45} měl/a být: {s47}
str_because_s44_is_the_rightful_s47_of_the_s46|Jelikož {s44} je právoplatný/á {s47} země {s46}
str_you_speak_of_claims_and_legalities_yet_to_others_you_talk_of_bringing_peace_by_force|Mluvíš o získání trůnu a právech, ale ostatním říkali cosi o ukončení války
str_you_speak_of_bringing_peace_by_force_yet_to_others_you_make_legal_claims|Mluvíš o ukončení války, ale ostatním vykládáš o právoplatném nároku.
str_you_speak_to_some_of_upholding_the_rights_of_the_commons_yet_you_speak_to_others_of_uphold_the_rights_of_nobles_what_if_those_rights_are_in_conflict|Někomu vykládáš o prosazování práv prostého lidu, jinému zase o prosazování práv šlechty. A co když jsou ta práva protichůdná?
str_you_speak_to_me_of_upholding_my_rights_as_a_lord_but_to_others_you_talk_of_upholding_the_rights_of_all_commons_what_if_those_rights_come_into_conflict|Se mnou mluvíš o prosazování mých práv jakožto pána, ale ostatním vykládáš o prosazování práv všech kmánů. Co když jsou ta práva protichůdná?
str_a_claim_should_be_strong_indeed_before_one_starts_talking_about_it|Než začneš mluvit o nárocích na trůn, musíš si získat silnou podporu.
str_a_king_should_prove_his_valor_beyond_any_doubt_before_he_starts_talking_about_a_claim_to_the_throne|Každý vládce musí prokázat svou chrabrost dávno předtím, než začne mluvit o svých nárocích na trůn.
str_you_must_prove_yourself_a_great_warrior_before_men_will_follow_you_as_king|Než tě muži začnou následovat jako krále, musíš prokázat, že jsi velkým válečníkem.
str_a_claim_to_the_throne_should_be_strong_indeed_before_one_presses_it|Než začneš mluvit o nárocích na trůn, musíš si získat silnou podporu.
str_indeed_but_a_man_must_also_prove_himself_a_great_warrior_before_men_will_follow_you_as_king|Bezpochyby. Ale než tě muži začnou následovat jako svého svrchovaného panovníka, musíš prokázat, že jsi velkým válečníkem.
str_my_pigherd_can_declare_himself_king_if_he_takes_he_fancy_i_think_you_need_to_break_a_few_more_heads_on_tbe_battlefield_before_men_will_follow_you|Můj pasák prasat by se také mohl prohlásit králem, kdyby chtěl. Mám dojem, že než tě muži začnou brát vážně, budeš muset na bitevním poli rozbít pár hlav.
str_if_you_do_not_wish_to_die_on_a_scaffold_like_so_many_failed_pretenders_before_you_i_would_suggest_that_you_to_build_your_claim_on_stronger_foundations_so_that_men_will_follow_you|Pokud nechceš stejně jako mnoho uchazečů před tebou skončit na šibenici, musíš své nároky postavit na silnějších základech a získat tak více následovníků.
str_if_you_do_not_wish_to_die_on_a_scaffold_like_so_many_failed_pretenders_before_you_i_would_advise_you_prove_yourself_on_the_field_of_battle_so_that_men_will_follow_you|Pokud nechceš stejně jako mnoho uchazečů před tebou skončit na šibenici, musíš svou cenu nejprve prokázat na bitevním poli a získat tak více následovníků.
str_talk_is_for_heralds_and_lawyers_real_kings_prove_themselves_with_their_swords|Mluvení je pro heraldy a právníky. Opravdový král prokazuje svou cenu za pomoci meče.
str_i_were_you_i_would_try_to_prove_myself_a_bit_more_before_i_went_about_pressing_my_claim|Kdybych byl na tvém místě, nejprve bych se trochu víc věnoval prokazování své ceny, a teprve pak začal prosazovat své nároky.
str_indeed_please_continue|Zajisté. Pokračuj, prosím.
str_me|já
str_i_worry_about_those_with_whom_you_have_chosen_to_surround_yourself|Tvůj výběr společníků mi dělá starosti.
str_there_are_some_outstanding_matters_between_me_and_some_of_your_vassals_|S některými z tvých vazalů máme nedořešené zajímavé záležitosti.
str_my_liege_has_his_faults_but_i_dont_care_for_your_toadies|Můj panovník má své mouchy, ale tvé podlézání mě vůbec nezajímá.
str_i_think_youre_a_good_man_but_im_worried_that_you_might_be_pushed_in_the_wrong_direction_by_some_of_those_around_you|Podle mě jsi dobrý člověk, ale trochu se bojím, že někteří z těch, kterými se obklopuješ, by tě mohli navést špatným směrem.
str_i_am_loathe_to_fight_alongside_you_so_long_as_you_take_under_your_wing_varlots_and_base_men|Dokud budeš pod svá křídla brát křiváky a hulváty, odmítám bojovat po tvém boku.
str_ill_be_honest__with_some_of_those_who_follow_you_i_think_id_be_more_comfortable_fighting_against_you_than_with_you|Řeknu to na rovinu. Vzhledem k tomu, koho vidím v tvém doprovodu, bych teď raději bojoval proti tobě než po tvém boku. 
str_i_say_that_you_can_judge_a_man_by_the_company_he_keeps_and_you_have_surrounded_yourself_with_vipers_and_vultures|Podle mě se dá člověk soudit i podle toho, koho má po svém boku. A kolem tebe vidím samé hady a psy.
str_you_know_that_i_have_always_had_a_problem_with_some_of_our_companions|Dobře víš, že někteří tví společníci mi nikdy nebyli po chuti.
str_politically_i_would_be_a_better_position_in_the_court_of_my_current_liege_than_in_yours|Z politického hlediska budu mít lepší postavení, když zůstanu u svého současného pána.
str_i_am_more_comfortable_with_you_and_your_companions_than_with_my_current_liege|S tebou a tvými společníky se cítím mnohem lépe než ve společnosti mého současného lenního pána.
str_militarily_youre_in_no_position_to_protect_me_should_i_be_attacked_id_be_reluctant_to_join_you_until_you_could|Nevládneš takovou vojenskou silou, která by mne mohla v případě potřeby ochránit. Dokud se tato situace nezmění, nehodlám se k tobě připojovat.
str_militarily_when_i_consider_the_lay_of_the_land_i_realize_that_to_pledge_myself_to_you_now_would_endanger_my_faithful_retainers_and_my_family|Pokud vezmu v úvahu okolní terén, je zřejmé, že pokud ti přísahám věrnost, ohrozím tím bezpečnost svých věrných služebníků a své rodiny.
str_militarily_youre_in_no_position_to_come_to_my_help_if_someone_attacked_me_i_dont_mind_a_good_fight_but_i_like_to_have_a_chance_of_winning|Z vojenského hlediska nejsi v pozici, kdy mi můžeš v případě napadení zajistit pomoc. Nemám nic proti dobrému boji, ale chci vidět alespoň nějakou šanci na vítězství.
str_militarily_you_would_have_me_join_you_only_to_find_myself_isolated_amid_a_sea_of_enemies|Nemůžu se k tobě teď přidat, ani při nejlepší vůli se nemíním obklopit nepřáteli.
str_militarily_youre_in_no_position_to_come_to_my_help_if_someone_attacked_me_youd_let_me_be_cut_down_like_a_dog_id_bet|Z vojenského hlediska nejsi v pozici, kdy mi můžeš v případě napadení zajistit pomoc. A nechci tu chcípnout jako pes...
str_militarily_i_wouldnt_be_any_safer_if_i_joined_you|Z vojenského hlediska si nijak nepolepším, když se k tobě přidám.
str_militarily_i_might_be_safer_if_i_joined_you|Z vojenského hlediska to vylepší mou bezpečnostní situaci, pokud se rozhodnu se k tobě přidat.
str_finally_there_is_a_cost_to_ones_reputation_to_change_sides_in_this_case_the_cost_would_be_very_high|Konec konců, každý by se měl vždycky dobře rozmyslet, než někomu vypoví spojenectví. A to dokonce i v případě, že k tomu má dobrý důvod. Není dobré získat pověst někoho, kdo mění panovníky jako spodní prádlo. V tomto případě bude cena za mou pověst velmi vysoká.
str_finally_there_is_a_cost_to_ones_reputation_to_change_sides_in_this_case_the_cost_would_be_significant|Konec konců, každý by se měl vždycky dobře rozmyslet, než někomu vypoví spojenectví. A to dokonce i v případě, že k tomu má dobrý důvod. Není dobré získat pověst někoho, kdo mění panovníky jako spodní prádlo. V tomto případě bude cena za mou pověst adekvátní.
str_finally_there_is_a_cost_to_ones_reputation_to_change_sides_in_this_case_however_many_men_would_understand|Konec konců, každý by se měl vždycky dobře rozmyslet, než někomu vypoví spojenectví. A to dokonce i v případě, že k tomu má dobrý důvod. Není dobré získat pověst někoho, kdo mění panovníky jako spodní prádlo. Nicméně v tomto případě bude mému kroku mnoho lidí rozumět.
str_i_will_not_have_it_be_said_about_me_that_i_am_a_traitor_that_is_my_final_decision_i_have_nothing_more_to_say_on_this_matter|Nenechám o sobě říkat, že jsem zrádce. To je mé konečné rozhodnutí. Víc ode mě neuslyšíš.
str_i_am_pledged_to_defend_s14_i_am_sorry_though_we_may_meet_on_the_battlefield_i_hope_that_we_will_still_be_friends|{s14} má mé slovo, že se může spolehnout na mou ochranu. Je mi líto. Přestože se možná střetneme na bojišti, doufám, že i nadále zůstaneme přáteli.
str_i_really_cannot_bring_myself_to_renounce_s14_i_am_sorry_please_lets_not_talk_about_this_any_more|Nejsem zrádce, na to se {s14} může spolehnout. Je mi líto. Už o tom prosím přestaň mluvit.
str_however_i_have_decided_that_i_must_remain_loyal_to_s14_i_am_sorry|Nicméně {s14} i nadále zůstane mým pánem. Je mi líto.
str_however_i_will_not_let_you_lead_me_into_treason_do_not_talk_to_me_of_this_again|Nenechám se nicméně dovést k vlastizradě. Už o tom přede mnou nemluv.
str_its_not_good_to_get_a_reputation_as_one_who_abandons_his_liege_that_is_my_decision_let_us_speak_no_more_of_this_matter|Není dobré získat pověst někoho, kdo zradil svého vládce. Na tom trvám. Už o tom nebudeme mluvit.
str_ive_decided_to_stick_with_s14_i_dont_want_to_talk_about_this_matter_any_more|Rozhodl jsem se, že {s14} zůstane mým panovníkem. Už o tom nechci mluvit.
str_you_are_challenging_me_to_a_duel_how_droll_as_you_wish_playername_it_will_be_good_sport_to_bash_your_head_in|Vyzýváš mě na souboj? Jak směšné! Bude zábava rozbíjet hlavu někomu, jako je {playername}.
str_call_me_coward_very_well_you_leave_me_no_choice|Nazýváš mě zbabělcem? Výborně, nedáváš mi jinou možnost.
str_reg3_hours|{reg3} hodin.
str_hour|hodin.
str_however_circumstances_have_changed_since_we_made_that_decision_and_i_may_reconsider_shortly_s16|Nicméně situace se trochu změnila, takže toho brzy nejspíš necháme a budeme se věnovat něčemu jinému. {s16}
str_i_wish_to_marry_your_s11_s10_i_ask_for_your_blessing|Rád bych, aby se tvá {s11} {s10} stala mou ženou. Žádám tě o tvé požehnání.
str_i_wish_to_marry_your_s11_s10_i_ask_for_your_help|Rád bych, aby se tvá {s11} {s10} stala mou ženou. Prosím tě o pomoc.
str_you_plan_to_marry_s3_at_a_feast_hosted_by_s4_in_s5_you_should_be_notifed_of_the_feast_as_soon_as_it_is_held|{s4} pořádá na hradě {s5} hostinu, kde se má {s3} stát tvou ženou. Na slavnost budeš upozorněn v okamžiku, kdy započne.
str_your_s11_|tvoje {s11}, 
str_i_ask_again_may|Ptám se znovu. Můžu
str_may|Můžu
str_very_well_as_far_as_im_concerned_i_suppose_she_can_see_most_anyone_she_likes__within_reason_of_course|Dobrá. Podle mě se může vídat, s kým chce. Tedy v rozumných mezích, samozřejmě.
str_very_well_an_alliance_with_you_could_be_valuable_go_chat_with_her_and_see_if_you_can_get_her_to_take_a_fancy_to_you_if_she_doesnt_and_if_we_still_want_to_conclude_this_business_then_i_can_make_her_see_reason|Výborně. Spojenectví s tebou by mohlo být velmi přínosné. Zajdi si s ní promluvit a snaž se, ať se jí zalíbíš. Pokud se ti to nepovede, můžu ji donutit změnit názor.
str_you_have_my_blessing_to_pay_suit_to_her__so_long_as_your_intentions_are_honorable_of_course_depending_on_how_things_proceed_between_you_two_we_may_have_more_to_discuss_at_a_later_date|Máš mé požehnání k tomu, aby ses ucházel o její ruku. Alespoň dokud budeš mít čestné úmysly, pochopitelně. Podle toho, jak se budou věci mezi vámi dvěma vyvíjet, bychom si mohli později promluvit i o dalších záležitostech.
str_the_war_has_barely_begun_so_and_it_is_too_early_to_say_who_is_winning_and_who_is_losing|Válka sotva začala, takže je příliš brzy na to říkat, kdo vyhrává a kdo prohrává.
str_we_have_been_hitting_them_very_hard_and_giving_them_little_chance_to_recover|Působíme jim značné ztráty a nedáváme jim příliš prostoru ke zotavení.
str_the_fighting_has_been_hard_but_we_have_definitely_been_getting_the_better_of_them|Byl to tvrdý boj, ale konečně jsme získali navrch.
str_they_have_been_hitting_us_very_hard_and_causing_great_suffering|Útočí na nás tvrdě a působí nám značné ztráty.
str_the_fighting_has_been_hard_and_i_am_afraid_that_we_have_been_having_the_worst_of_it|Byl to tvrdý boj a bohužel z něj pro nás nevzešlo nic dobrého.
str_both_sides_have_suffered_in_the_fighting|V bitvách obě strany utrpěly značné ztráty.
str_no_clear_winner_has_yet_emerged_in_the_fighting_but_i_think_we_are_getting_the_better_of_them|Z boje zatím nevzešel jasný vítěz. Mám však dojem, že začínáme mít navrch.
str_no_clear_winner_has_yet_emerged_in_the_fighting_but_i_fear_they_may_be_getting_the_better_of_us|Z boje zatím nevzešel jasný vítěz. Mám však dojem, že nepřítel začíná mít navrch.
str_no_clear_winner_has_yet_emerged_in_the_fighting|Z boje zatím nevzešel jasný vítěz.
str_there_is_no_campaign_currently_in_progress|V současnosti neprobíhá žádné tažení.
str_we_are_assembling_the_army|Shromažďujeme vojska.
str_we_aim_to_take_the_fortress_of_s8|Snažíme se obsadit sídlo {s8}.
str_we_are_on_a_raid_and_are_now_targeting_s8|Vydali jsme se do boje a naším cílem nyní je {s8}.
str_we_are_trying_to_seek_out_and_defeat_s8|Snažíme se najít a porazit: {s8}.
str_we_are_riding_to_the_defense_of_s8|Jedeme bránit: {s8}.
str_we_are_gathering_for_a_feast_at_s8|Chystáme se na slavnost v sídle {s8}.
str__however_that_may_change_shortly_s14|Nicméně se to může brzy změnit. {s14}
str_it_is_our_custom_to_seal_any_such_alliances_with_marriage_and_in_fact_we_have_been_looking_for_a_suitable_groom_for_my_s11_s14|Je naším zvykem každou takovou alianci stvrdit sňatkem a má {s11} je zralá na vdávání. {s14} je dobrá partie.
str_once_again_|Ještě jednou
str_cheat__marriage_proposal|Cheat - nabídka sňatku
str_you_plan_to_marry_s4_as_you_have_no_family_in_calradia_he_will_organize_the_wedding_feast|{s4} se má stát tvým mužem. Jelikož v Calradii nemáš žádnou rodinu, bude to on, kdo připraví svatební hostinu.
str_s43_just_so_you_know_if_you_attack_me_you_will_be_in_violation_of_the_truce_you_signed_with_the_s34|Á, {s43}... Jen pro tvou informaci. Pokud mě napadneš, bude to považováno za porušení příměří, které jste ty a {s34} podepsali.
str_very_well__you_are_now_my_liege_as_well_as_my_husband|Zkraťme to: nyní jsi mým lenním pánem a zároveň manželem, se všemi právy a povinnostmi, které s tím souvisejí.
str_i_thank_you_reg39my_ladylord|Děkuji, {reg39?má paní:pane}.
str_now_some_might_say_that_women_have_no_business_leading_mercenary_companies_but_i_suspect_that_you_would_prove_them_wrong_what_do_you_say|Někdo by mohl tvrdit, že se ženské nemají plést do velení žoldáckým kompaniím. Ale mám dojem, že ty bys mohla dokázat, že to není pravda. Co ty na to?
str_what_do_you_say_to_entering_the_service_of_s9_as_a_mercenary_captain_i_have_no_doubt_that_you_would_be_up_to_the_task|Jak by se ti líbila pozice žoldnéřského kapitána? {s9} ti ji může nabídnout. A já nepochybuju o tom, že si povedeš skvěle. 
str_s9_asked_you_to_rescue_s13_who_is_prisoner_at_s24|{s9} tě žádá, ať osvobodíš vězně jménem {s13}, který je v zajetí ve městě {s24}.
str_s9_asked_you_to_attack_a_village_or_some_caravans_as_to_provoke_a_war_with_s13|{s9} tě žádá o útok na nějakou vesnici nebo pár karavan. {s13} se tím možná nechat vyprovokovat k válce.
str_s9_asked_you_to_catch_the_three_groups_of_runaway_serfs_and_bring_them_back_to_s4_alive_and_breathing_he_said_that_all_three_groups_are_heading_towards_s3|{s9} tě žádá, ať pochytáš tři skupiny uprchlíků a dovedeš je živé zpět do obce {s4}. Tvrdí, že všechny tři skupiny mají namířeno do města {s3}.
str_you_intend_to_bring_goods_to_s9_in_preparation_for_the_feast_which_will_be_held_as_soon_as_conditions_permit|Zamýšlíš dovézt zboží do města {s9}, kde se bude co nevidět pořádat hostina. Čeká se jen na příhodné podmínky.
str_hello_playername|Á, {playername}. Zdravím tě
str_ah_my_gentle_playername_how_much_good_it_does_my_heart_to_see_you_again| Mé srdce je plné radosti, že se znovu setkáváme! Někdy cítím, že je mezi námi mystické pouto, které překonává veškerou vzdálenost.
str_playername__i_am_so_glad_to_see_you_again_i_must_say_i_do_envy_your_freedom_to_ride_out_and_experience_the_world| Musím říct, že ti závidím tvou volnost, s jakou můžeš cestovat po celém světě!
str_playername__i_am_so_glad_to_see_you_i_trust_that_you_have_been_behaving_honorably_since_last_we_met| Doufám, že od našeho posledního shledání děláš svému jménu jen samou čest.
str_playername__i_am_so_glad_that_you_were_able_to_come|Tolik mě těší, že tě znovu vidím.
str_i_do_enjoy_speaking_to_you_but_i_am_sure_you_understand_that_our_people_cluck_their_tongues_at_a_woman_to_spend_too_long_conversing_with_a_man_outside_her_family__although_the_heavens_know_its_never_the_man_who_is_held_to_blame_|Jsem ráda, že si s tebou můžu zase promluvit. Jistě však víš, že o dívce, která tráví příliš času povídáním s muži, kteří nepatří do rodiny, lidé velmi rádi roznášejí drby. Zvláštní je, a nebesa to vidí, že za to nikdy nenese vinu muž.
str_as_much_as_i_enjoy_speaking_to_you_i_do_not_care_to_be_gossiped_about_by_others_who_might_lack_my_grace_and_beauty_|Jelikož je mi povídání s tebou tak příjemné, je mi vcelku jedno, co o mně budou roznášet ty, které nejspíš postrádají můj půvab a krásu.
str_i_do_so_enjoy_speaking_to_you_but_as_a_daughter_of_one_of_the_great_families_of_this_land_i_must_set_an_example_of_propriety_|Povídání s tebou je tak příjemné. Ale jako dcera jedné z nejvlivnějších rodin této země musím být příkladem počestnosti.
str_i_do_so_enjoy_speaking_to_you_but_as_a_daughter_of_good_family_i_must_protect_my_reputation_|Povídání s tebou je tak příjemné. Ale jako dívka z dobré rodiny musím brát ohledy na svou pověst.
str_although_it_is_kind_of_you_to_pay_me_such_attentions_i_suspect_that_you_might_find_other_ladies_who_may_be_more_inclined_to_return_your_affection|Ačkoli je to od tebe velmi milé, že mi věnuješ takovou pozornost, určitě najdeš jinou dívku, která ti ráda opětuje tvé zalíbení.
str_as_flattered_as_i_am_by_your_attentions_perhaps_you_should_seek_out_another_lady_of_somewhat_shall_we_say_different_tastes|Ačkoli mi tvá pozornost velmi lichotí, možná by ses měl poohlédnout po jiné dívce s trochu... řekněme... jiným vkusem.
str_as_flattered_as_i_am_by_your_attentions_i_am_a_daughter_of_good_family_and_must_be_aware_of_my_reputation_it_is_not_seemly_that_i_converse_too_much_at_one_time_with_one_man_i_am_sure_you_understand_now_if_you_will_excuse_me|Přestože mi tvá pozornost velmi lichotí, jsem dcerou z dobré rodiny a musím brát ohledy na svou pověst. Není slušné bavit se příliš dlouho s jedním mužem. Jsem si jistá, že to chápeš. A teď mě prosím omluv.
str_very_well__i_will_let_you_choose_the_time|Výborně, dám ti vědět kdy.
str_good_i_am_glad_that_you_have_abandoned_the_notion_of_pushing_me_into_marriage_before_i_was_ready|Výborně! Jsem ráda, že už mě nechceš tlačit do svatby dřív, než na ni budu připravena.
str_i_am|Jsem
str_s12_s11_to_s14|{s12} {s11} - {s14}
str_s12_i_am_here_for_the_feast|{s12}. Jsem tu kvůli hostině.
str_another_tournament_dedication_oh_i_suppose_it_is_always_flattering|Další souboj kvůli mně. Ach, to dokáže vždy polichotit...
str_do_you_why_what_a_most_gallant_thing_to_say|Opravdu? Ach, to je velmi rytířské.
str_hmm_i_cannot_say_that_i_altogether_approve_of_such_frivolity_but_i_must_confess_myself_a_bit_flattered|Hm, nedá se říct, že takovou lehkovážnost vždy schvaluji. Ale musím se přiznat, že mě to potěšilo.
str_why_thank_you_you_are_most_kind_to_do_so|Ach, děkuji. To je od tebe velmi milé.
str_you_are_most_courteous_and_courtesy_is_a_fine_virtue_|Jsi velmi zdvořilý a zdvořilost je pěkná vlastnost.
str_hmm_youre_a_bold_one_but_i_like_that_|Hm, jsi troufalý, ale to se mi líbí.
str_ah_well_they_all_say_that_but_no_matter_a_compliment_well_delivered_is_at_least_a_good_start_|Ach, to říkají všichni. Ale na tom nesejde. Dobře podaný kompliment je přinejmenším dobrý začátek.
str_oh_do_you_mean_that_such_a_kind_thing_to_say|Ach! Myslíš to vážně? To je od tebe opravdu milé!
str_you_are_a_most_gallant_young_man_|Ty jsi ten nejpozornější mladík, jakého znám.
str__do_come_and_see_me_again_soon|Přijď mě brzy zase navštívit.
str_you_intend_to_ask_s12_for_permission_to_marry_s15|Chceš, aby se {s15} stala tvou ženou, a máš v úmyslu požádat pána jménem {s12} o svolení.
str_you_intend_to_ask_s12_to_pressure_s10_to_marry_you|Chceš, aby se {s10} stala tvou ženou, a myslíš si, že {s12} ji k tomu může přesvědčit.
str_do_be_careful_i_am_so_much_endebted_to_you_for_this|Buď opatrný! Jsem ti za to tolik zavázána...
str_go_then__we_shall_see_which_of_you_triumphs|Tak jdi - uvidíme, kdo z vás zvítězí...
str_sigh_i_will_never_truly_understand_men_and_their_rash_actions|Ach... Nikdy nebudu rozumět mužům a jejich pošetilostem...
str_you_intend_to_challenge_s13_to_force_him_to_relinquish_his_suit_of_s11|{s13} se dvořil dámě jménem {s11} a ty máš v úmyslu jej vyzvat na souboj, aby od svých snah upustil.
str_farewell|Sbohem.
str_farewell_playername|Sbohem, jméno {playername} navždy zůstane v mém srdci.
str___we_believe_that_there_is_money_to_be_made_selling_| Jsme přesvědčeni, že nejvíce peněz vyděláme prodejem zboží, jako je 
str__we_carry_a_selection_of_goods_although_the_difference_in_prices_for_each_is_not_so_great_we_hope_to_make_a_profit_off_of_the_whole|Přepravujeme vybrané zboží. Přestože se ceny pro každou komoditu příliš neliší, doufáme, že na obchodu ve výsledku vyděláme.
str_s14and_other_goods|{s14} a další zboží.
str__have_you_not_signed_a_truce_with_our_lord|Neváže tě přísaha k našemu pánovi?
str_parole|podmínka
str_normal|normální
str__meanwhile_s51_reg2areis_being_held_in_the_castle_but_reg2havehas_made_pledges_not_to_escape_and_reg2areis_being_held_in_more_comfortable_quarters|Prozatím {reg2?jsou vězněni:je vězněn} {s51} na hradě, nicméně {reg2?složili:složil} slib, že se nepokusí o útěk, proto {reg2?jsou drženi:je držen} v pohodlnějších částech tvrze.
str_you_may_be_aware_my_lord_of_the_quarrel_between_s4_and_s5_which_is_damaging_the_unity_of_this_realm_and_sapping_your_authority_if_you_could_persuade_the_lords_to_reconcile_it_would_boost_your_own_standing_however_in_taking_this_on_you_run_the_risk_of_one_the_lords_deciding_that_you_have_taken_the_rivals_side|{Můj pane/Má paní}, {měl/měla} bys dohlédnout na spory, které mezi sebou řeší {s4} a {s5} a jež ohrožují jednotu této země a podkopávají tvou autoritu. Pokud bys je mohl donutit k usmíření, posílil bys tím svou vlastní pozici. Když se tím však začneš zabývat, riskuješ, že jeden z pánů může nabýt dojmu, že straníš jeho rivalovi.
str_you_may_be_aware_my_lord_of_the_quarrel_between_s4_and_s5_which_is_damaging_the_unity_of_this_realm_and_sapping_your_authority_if_you_could_persuade_the_lords_to_reconcile_i_imagine_that_s7_would_be_most_pleased_however_in_taking_this_on_you_run_the_risk_of_one_the_lords_deciding_that_you_have_taken_the_rivals_side|{Můj pane/Má paní}, {měl/měla} bys dohlédnout na spory, které mezi sebou řeší {s4} a {s5} a jež ohrožují jednotu této země a podkopávají tvou autoritu. Pokud bys je mohl donutit k usmíření, dokážu si představit, že ti {s7} projeví náklonnost. Když se tím však začneš zabývat, riskuješ, že jeden z pánů může nabýt dojmu, že straníš jeho rivalovi.
str__of_course_the_land_is_currently_at_peace_so_you_may_have_better_luck_in_other_realms|V zemi v současnosti vládne mír, takže by možná bylo rozumné hledat štěstí jinde.
str_here|tady
str_over|nad
str_s8_in_s12|{s8} v: {s12}
str__has_put_together_a_bounty_on_some_bandits_who_have_been_attacking_travellers_in_the_area| vypsal odměnu na hlavy několika banditů, kteří v oblasti napadají pocestné.
str__is_looking_for_a_way_to_avoid_an_impending_war| hledá způsoby, jak odvrátit hrozbu války.
str__may_need_help_rescuing_an_imprisoned_family_member| možná potřebuje pomoc se záchranou uvězněného člena rodiny.
str__has_been_asking_around_for_someone_who_might_want_work_id_watch_yourself_with_him_though| se poptává po někom, kdo hledá práci. Dal bych si na něj však pozor.
str_town|město.
str_castle|hrad.
