dlga_award_fief_to_vassal:award_fief_to_vassal_defer|Przełożę mianowanie władcy, dopóki nie usłyszę opinii poddanych
dlga_minstrel_courtship_poem_teach_4:minstrel_learn_poem_continue|''Odbijam ciosy jej sceptycznej niepewności...''
dlga_minstrel_courtship_poem_teach_4:minstrel_learn_poem_continue.1|''Jesteś pierwszą i ostatnią...''
dlga_minstrel_courtship_poem_teach_4:minstrel_learn_poem_continue.2|''Wiatr, co omiata stepowy pył...''
dlga_minstrel_courtship_poem_teach_4:minstrel_learn_poem_continue.3|''Promień przebił mrok nad klifami Wercheg...''
dlga_minstrel_courtship_poem_teach_4:minstrel_learn_poem_continue.4|''Cały jedwab Veluki...''
dlga_minstrel_courtship_poem_teach_4:minstrel_courtship_poem_teach_reject|Co to za grafomania?
dlga_minstrel_courtship_poem_teach_reject:minstrel_pretalk|Zgoda, jeśli wiersz nie przypadł tobie do gustu, to zatrzymaj pieniądze. Lecz pamiętaj, w poezji i miłości nie liczy się to, co ma tobie dogodzić, lecz to, co dogadza słuchaczom. Jeśli chcesz się nauczyć wiersza, ja cały czas jestem gotów.
dlga_minstrel_learn_poem_continue:close_window|Doskonale, z tym, że czeka cię wiele zwrotek do nauki. Słuchaj uważnie...
dlga_minstrel_1:minstrel_gossip|Czy mógłbyś mi coś powiedzieć o niezamężnych damach w tym królestwie?
dlga_minstrel_gossip:minstrel_gossip_select|O kim chcesz wiedzieć?
dlga_minstrel_gossip_select:minstrel_gossip_maiden_selected_2|Powtórz najnowsze plotki.
dlga_minstrel_gossip_select:minstrel_gossip_maiden_selected|{s10}
dlga_minstrel_gossip_select:minstrel_pretalk|Nieważne.
dlga_minstrel_gossip_maiden_selected:minstrel_gossip_maiden_selected_2|{s16}
dlga_minstrel_gossip_maiden_selected_2:minstrel_postgossip|Oczywiście, jest twoją żoną! Nikt nie śmie twierdzić, iż zrobiłaby coś wzbudzającego pomówienia.
dlga_minstrel_gossip_maiden_selected_2:minstrel_postgossip.1|{s12}.
dlga_minstrel_gossip_maiden_selected_2:minstrel_postgossip.2|{s12}.
dlga_minstrel_postgossip:minstrel_pretalk|Interesujące, ale porozmawiajmy o czymś innym.
dlga_minstrel_postgossip:minstrel_gossip|Interesujące. Masz jeszcze jakieś wieści?
dlga_minstrel_postgossip:minstrel_duel_confirm|Co? Ta kreatura powącha mój miecz
dlga_minstrel_duel_confirm:minstrel_duel_confirm_2|Naprawdę taki masz zamiar? {s11} będzie musiał z tobą walczyć, ale wyzywanie pana na pojedynek o kobietę to trochę pochopna decyzja, nawet w tych niespokojnych czasach.
dlga_minstrel_duel_confirm_2:minstrel_duel_issued|Tak, mam zamiar sprawić, żeby {s11} porzucił zapędy wobec damy, której na imię {s12}.
dlga_minstrel_duel_confirm_2:minstrel_pretalk|Nie, pozwolę moim zapędom ulecieć.
dlga_minstrel_duel_issued:minstrel_pretalk|Jak sobie chcesz. Rozpowiem o twoich intencjach, aby {s13} nie mógł się wycofać...
dlga_minstrel_1:minstrel_courtship_locations|Czy słyszałeś coś o obecnie trwających ucztach?
dlga_minstrel_courtship_locations:minstrel_pretalk|{s12}
dlga_minstrel_1:close_window|Żegnaj.
dlga_minstrel_courtship_questions:minstrel_courtship_questions_2|Co chcesz wiedzieć?
dlga_minstrel_courtship_prequestions:minstrel_courtship_questions_2|Czy masz jeszcze jakieś pytania?
dlga_minstrel_courtship_questions_2:minstrel_player_role|Czy w tej miłosnej grze jest dla mnie miejsce?
dlga_minstrel_courtship_questions_2:minstrel_player_advice_meet|W jaki sposób konkurent może spotkać się z damą?
dlga_minstrel_courtship_questions_2:minstrel_player_advice_woo|W jaki sposób konkurent może zabiegać o względy damy?
dlga_minstrel_courtship_questions_2:minstrel_nobles|Powiedz mi o ślubach i miłości wśród szlachty z Calradii.
dlga_minstrel_nobles:minstrel_nobles_2|Szlachta to dziwni ludzie. W Calradii córka jest traktowana jak polityczny kapitał i zostanie wydana za pana, z którym jej ojciec chce zawrzeć sojusz. Jednak dostojne rodziny zamieszkujące te ziemie darzą wielkim szacunkiem nieskalaną miłość pomiędzy mężczyzną a kobietą. Sam nieraz widziałem twardego wojownika wylewającego łzy przy skazanych na klęskę zalotach Sahiry i Januna, opiewanych w pieśniach, nawet jeśli miał w zamiarze złamanie serca własnej córki.
dlga_minstrel_nobles_2:minstrel_nobles_3|Niektórzy szlachcice z Calradii pozwalają wybrać córce męża, który będzie spełniał ich oczekiwania. Inni dochodzą do wniosku, że pozostawienie córce jakiegokolwiek wyboru byłoby ujmą dla ich autorytetu i nalegają na wybranego przez siebie pana młodego, czy jej się to podoba, czy nie.
dlga_minstrel_nobles_3:minstrel_prequestions|Jednak większość jest gdzieś po środku. Będą chcieli podjąć ostateczną decyzję co do pana młodego, ale wezmą też pod uwagę preferencje córki. Wiedzą, że szczęśliwe małżeństwo może skutkować spłodzeniem dziedzica. Zatem jest tu miejsce na dworskie zaloty, jak i na namiętność, jeśli chce się wykraść serce szlachcianki.
dlga_minstrel_courtship_questions_2:minstrel_daughter_father|A co, jeśli dama i jej ojciec nie zgadzają się co do kandydata?
dlga_minstrel_daughter_father:minstrel_daughter_father_2|Zdarza się czasami, że panna młoda ucieka. Jest to ogromny cios dla pozycji ojca, prowadzący do długotrwałych waśni. Możliwa jest nawet wojna z powodu kobiety. O! To doskonały temat pieśni.
dlga_minstrel_daughter_father_2:minstrel_prequestions|Ostatecznie, większość dziewcząt podporządkowuje się decyzji rodziców. Rodzina szlachcianki jest dla niej wszystkim, a mało która z nich jest na tyle odważna, żeby zaryzykować gniew rodziny dla mężczyzny, którego ledwie zna. Może tęsknić za ukochanym, ale i tak zaakceptuje pana młodego. Cóż, bez niespełnionej miłości nie byłoby o czym układać pieśni.
dlga_minstrel_player_role:minstrel_player_role_2|Oczywiście! Calradyjscy szlachcice przywiązują ogromną wagę do pochodzenia, ale ostatecznie ziemia i posag przemawiają do nich głośniej niż przodkowie. Nawet jako przyjezdny, jeśli zaczniesz osiągać coraz więcej, dla wielu rodzin będziesz łakomym kąskiem.
dlga_minstrel_player_role_2:minstrel_player_role_3|Będziesz musiał rywalizować z wieloma szlachcicami ze swego królestwa, jednak nigdy nie wiadomo, kto będzie miał przewagę w zalotach. Oni będą znali te damy od dzieciństwa, a matki i ciotki skrupulatnie ograniczą liczbę kandydatów do minimum. Niektóre damy może fascynować ktoś obcy, inne będą skłaniały się ku komuś, kogo już znają.
dlga_minstrel_player_role_3:minstrel_prequestions|Pamiętaj, że mogą złamać ci serce. Lecz wkraczając na arenę miłości z obawą o rozczarowanie, to jak wyruszenie na pole bitwy w strachu przed strzałami nieprzyjaciela. Bądź dzielny, nie daj się zniechęcić ostrzem odrzucenia, a zwycięstwo będzie twoje.
dlga_minstrel_player_role:minstrel_female_player_3|Pani, będę szczery. Większość szlachciców z tych ziem szuka skromnej niewiasty, której skóra jest biała jak śnieg. Twoja skóra jest spalona słońcem. Szukają niewiasty, której głos będzie delikatny jak dzwoneczek. Twój głos jest chropowaty od wydawania wojennych rozkazów. Ponadto, choć szlachcice z Calradii są w stanie docenić wiersze o miłości, większość marzy o dziedzicach, a przyznać musisz, że niewiele jest kobiet, które mogą dosiąść konia i walczyć z dzieckiem u boku.
dlga_minstrel_female_player_3:minstrel_prequestions|Jednak nie wszyscy szlachcice będą tak konwencjonalni w swoim sposobie myślenia. My, poeci, śpiewamy o wojowniczkach, o kobietach, które wytyczyły sobie własny szlak bez poświęcania szans na miłość. Nie twierdzę, że będzie ci łatwo znaleźć oddanego męża, który zaakceptuje twoje wybory, ale nie mówię też, że jest to niemożliwe.
dlga_minstrel_courtship_questions_2:minstrel_spouse_benefits|Jakie korzyści daje szukanie {żony/męża}?
dlga_minstrel_spouse_benefits:minstrel_wife_benefits_2|Ach! Przebija przez ciebie romantyzm. Cóż, oprócz oczywistych korzyści płynących z miłości, posiadania towarzystwa i innych kwestii, powiedzmy sobie - domowych, wzięcie ślubu z kimś ze szlachty wiąże się z olbrzymim posagiem. Możesz zawrzeć silny sojusz z rodziną panny młodej, a żona może okazać się pomocna przy politycznych grach, jakie będziesz prowadził w królestwie.
dlga_minstrel_wife_benefits_2:minstrel_prequestions|Co więcej, większość dostojnych rodzin Calradii połączyło się węzłem małżeńskim z rodziną królewską, co miałoby spory wpływ na twoje roszczenia do tronu, jeśli kiedykolwiek przyjdzie ci do głowy się o niego ubiegać.
dlga_minstrel_spouse_benefits:minstrel_wife_benefits_2.1|Ach! Przebija przez ciebie romantyzm. Cóż, oprócz oczywistych korzyści płynących z miłości, posiadania towarzystwa i innych kwestii, powiedzmy sobie - domowych, wzięcie ślubu z kimś ze szlachty wiąże się z olbrzymim posagiem. Możesz uzyskać dostęp do zamków i posiadłości pana młodego i pomóc mu w pracy nad poprawianiem waszej pozycji w królestwie.
dlga_minstrel_player_advice_meet:minstrel_player_advice_meet_2|Co jakiś czas król lub jeden z dostojnych szlachciców Calradii urządza przyjęcie. W miastach bardzo często towarzyszą im rycerskie turnieje, a mieszkańcy zamków urządzają sobie w ich czasie polowania. Uczty są dla szlachciców szansą na podreperowanie swojej pozycji, która ucierpieć mogła w wyniku rywalizacji. Są również szansą dla rodzin do pochwalenia się swoimi córkami, a niepilnowane damy będą miały szansę wmieszać się w tłum gości.
dlga_minstrel_player_advice_meet_2:minstrel_prequestions|Jeśli nadarzy się taka okazja, moż{esz/na} podjąć próbę komplementowania damy. Dzięki temu zorientuje się, że jest{eś/ się} kandydatem na męża i w większości wypadków będzie wiedziała, czy chce, aby{ś/ dany delikwent} kontynuował swoje zaloty. W niektórych wypadkach, jeśli podejdzie{sz/ się} do niej tuż po sukcesie na turnieju lub polowaniu, moż{esz/na} wywrzeć na niej większe wrażenie.
dlga_minstrel_player_advice_woo:minstrel_player_advice_woo_2|Zabieganie o względy damy wymaga pewnych nakładów czasu i cierpliwości oraz kilku spotkań na przestrzeni miesięcy. Dama, która będzie {tobą/delikwentem} zainteresowana, bardzo często znajdzie sposób, żeby się z {tobą/nim} spotkać. W innym wypadku, moż{esz/że on} pójść bezpośrednio do jej ojca lub brata i spytać się o pozwolenie. Jeśli nie dostanie{sz/} zgody od jej opiekuna, może{sz/} postarać się ustalić termin spotkania innymi sposobami.
dlga_minstrel_player_advice_woo_2:minstrel_player_advice_woo_3|Po ustaleniu daty spotkania {możesz/delikwent może} podjąć próbę oczarowania swojej wybranki i zdobycia jej względów. Prawdopodobnie jednym z najtrudniejszych elementów zalotów jest znalezienie odpowiedniego tematu do dyskusji. Większość calradyjskich szlachcianek wiedzie żywot klasztorny, przynajmniej do ślubu, dlatego też nie {spodziewaj się/należy się spodziewać}, że będą poruszały tematy, które mogą {cię/delikwenta} interesować. Z drugiej strony, jej także po pewnym czasie znudzi się słuchanie o {twoich/jego} wyczynach.
dlga_minstrel_player_advice_woo_3:minstrel_player_advice_woo_4|Jedną ze sprawdzonych metod zalotów jest recytowanie wierszy, a następnie rozmowa o ich treści. W ten sposób oboje będ{ziecie/ą} mieli okazję wypowiedzieć się na temat, w którym brak {wam/im} wiedzy i doświadczenia. Ma się rozumieć, każda dama ma własne upodobania co do poezji.
dlga_minstrel_player_advice_woo_4:minstrel_player_advice_woo_5|W pewnym momencie będ{ziecie/ą} mogli bezpośrednio przejść do kwestii małżeństwa. Wtedy {/delikwent} dowie{sz/} się, czy spełnia{sz/} jej oczekiwania na męża. Niektóre damy na chłodno kalkulują, który z kandydatów ma najlepszą pozycję, inne będą kierowały się emocjami. Niektóre zainteresują się {twoimi/jego} towarzyszami, aby sprawdzić, czy będzie{sz/} mężem, który będzie traktował ją jako równą sobie. Inne z kolei podążą śladami swoich ojców.
dlga_minstrel_player_advice_woo_5:minstrel_prequestions|Bez wątpienia jest to wymagająca sprawa i nie {zapominaj/należy zapominać}, że niektóre damy zgadzają się na zaloty tylko po to, aby podkopać polityczne ambicje swoich ojców. Więc {/delikwent} {zadaj/musi zadać} sobie pytanie: czy na pewno chc{ę/e} zaryzykować rozczarowanie i zranione uczucia? Czy jest{eś/} gotów odrzucić swoją pozycję społeczną, aby zamienić sojuszników we wrogów w pogoni za zakazaną miłością? Jeśli tak, to być może pewnego dnia będziemy pisali wiersze o {tobie/nim}.
dlga_minstrel_courtship_questions_2:minstrel_job_description|Czym właściwie zajmują się poeci i muzycy?
dlga_minstrel_job_description:minstrel_courtship_prequestions|Komponuję i piszę pieśni dla tutejszych szlachciców i ich dam. Czasem śpiewam o wojnie, czasem o królewskich cnotach, dla bardziej wyrobionych słuchaczy mam kilka utworów o zaletach wina. Jednak dla większości śpiewam o miłości.
dlga_minstrel_courtship_questions_2:minstrel_pretalk|Nie, to wszystko.
dlga_minstrel_prequestions:minstrel_courtship_questions_2|Masz jeszcze jakieś pytania?
dlga_minstrel_pretalk:minstrel_1|Coś jeszcze?
dlga_start:farmer_from_bandit_village_1|{Panie/Pani}, wyglądasz na kogoś, kto dobrze radzi sobie z mieczem i kto mógłby nam pomóc. Wysłuchasz mojej prośby?
dlga_farmer_from_bandit_village_1:farmer_from_bandit_village_2|O co chodzi, dobry człowieku?
dlga_farmer_from_bandit_village_1:farmer_from_bandit_village_2.1|Co ty tam mamroczesz, chłopie? Mówże.
dlga_farmer_from_bandit_village_2:farmer_from_bandit_village_3|W naszej wiosce ukryła się grupa bandytów. Zabierają wszystko co mamy, zmuszają nas do usługiwania im i czynią wiele krzywd. Jeśli ktoś z nas choć zaprotestuje, natychmiast zostaje zabity. Nasze życie stało się nie do zniesienia. Zaryzykowałem życie i uciekłem, by znaleźć kogoś, kto nam pomoże.
dlga_farmer_from_bandit_village_3:farmer_from_bandit_village_4|Dlaczego nie udasz się do lorda, do którego należy wasza wioska? Powinien rozprawić się z tymi łajdakami.
dlga_farmer_from_bandit_village_4:farmer_from_bandit_village_5|Tak zrobiłem, {panie/pani}, ale ludzie naszego lorda nie pozwolili mi się z nim zobaczyć i powiedzieli, że ma ważniejsze sprawy na głowie oraz że sami powinniśmy rozwiązywać nasze problemy. Proszę, {panie/pani}, wyglądasz na {mężczyznę pełnego/kobietę pełną} honoru, dobrego wojownika i bez wątpienia masz wielu przyjaciół oraz żołnierzy. Jeśli ktokolwiek może nam pomóc, to tylko ty.
dlga_farmer_from_bandit_village_5:farmer_from_bandit_village_accepted|Dobrze, pomogę wam. Gdzie leży wioska?
dlga_farmer_from_bandit_village_5:farmer_from_bandit_village_denied|Nie mogę sobie teraz brać tego na głowę.
dlga_farmer_from_bandit_village_5:farmer_from_bandit_village_barter|Dlaczego mam walczyć z tymi bandytami? Co będę z tego mieć?
dlga_farmer_from_bandit_village_accepted:close_window|Niech Bóg cię błogosławi, {panie/pani}. Nasza wioska to {s7}. Leży niedaleko stąd.
dlga_farmer_from_bandit_village_denied:close_window|Jak uważasz, {panie/pani}. Wybacz, że zawracam ci głowę.
dlga_farmer_from_bandit_village_barter:farmer_from_bandit_village_5|Jesteśmy tylko biednymi wieśniakami, {panie/pani}, a bandyci zabrali już większość tego, co mieliśmy. Chętnie jednak podzielimy się tym, co zostało. Na zawsze też pozostaniemy wdzięczni, jeśli nam pomożesz.
dlga_start:close_window.37|No! To przecież {s21}! Miasto już widać na horyzoncie, więc jesteśmy niemal na miejscu. Sami pokonamy resztę drogi. Oto twoja zapłata... {reg14} denarów. Dziękuję za eskortę. Powodzenia.
dlga_start:mercenary_tavern_talk|Czy potrzebni ci najemnicy, {panie/pani}? {reg3?Ja, oraz {reg4?{reg3} moich towarzyszy:jeden z moich towarzyszy} szukamy:Szukam} dowódcy. Dołączymy do ciebie za {reg5} denarów.
dlga_start:mercenary_after_recruited|Jakieś rozkazy, {panie/pani}?
dlga_mercenary_after_recruited:mercenary_after_recruited_2|Przygotujcie się. Wyruszamy o świcie.
dlga_mercenary_after_recruited:mercenary_after_recruited_2.1|Spokojnie. Jeszcze przez jakiś czas pozostaniemy w mieście.
dlga_mercenary_after_recruited_2:close_window|Tak, {panie/pani}. Będziemy gotowi do wymarszu na twój rozkaz.
dlga_mercenary_tavern_talk:mercenary_tavern_talk_hire|W porządku. Zatrudnię was wszystkich. Oto {reg5} denarów.
dlga_mercenary_tavern_talk:mercenary_tavern_talk_hire.1|W porządku. Ale mogę zatrudnić tylko {reg6} spośród was. Oto {reg5} denarów.
dlga_mercenary_tavern_talk_hire:close_window|{s17}
dlga_mercenary_tavern_talk:tavern_mercenary_cant_lead|Brzmi dobrze. Obawiam się jednak, że nie stać mnie teraz na więcej ludzi.
dlga_tavern_mercenary_cant_lead:close_window|Co za szkoda. No cóż, {reg3?powłóczymy:powłóczę} się tutaj jeszcze przez jakiś czas, może zmienisz zdanie.
dlga_mercenary_tavern_talk:tavern_mercenary_cant_lead.1|Brzmi dobrze. Obawiam się jednak, że nie mogę teraz dowodzić większą liczbą ludzi.
dlga_mercenary_tavern_talk:close_window|Przykro mi. Nie potrzebuję teraz więcej ludzi.
dlga_start:trainer_intro_1|Witaj, {chłopcze/dziewko}. Wyglądasz mi na kolejną osobę, która szuka szczęścia w tych stronach. Cóż, uwierz mi na słowo, nie przeżyjesz tutaj zbyt długo, jeśli nie dowiesz się, w jaki sposób walczyć w zwarciu.
dlga_trainer_intro_1:trainer_intro_2|Dziękuję ci za poradę. To miejsce wygląda, jak obóz szkoleniowy. Może tutaj dowiem się czegoś na temat walki?
dlga_trainer_intro_2:trainer_intro_3|Owszem, dowiesz się. Jestem weteranem... walczyłem kiedyś w wielu bitwach. Teraz jednak szkolę nowicjuszy w okolicy. Mogę poszukać ci kilku przeciwników, z którymi możesz poćwiczyć. Jeśli zaś masz pytania dotyczące teorii walki, nie wahaj się ich zadawać.
dlga_trainer_intro_3:trainer_intro_4a|Tak, mam kilka pytań.
dlga_trainer_intro_3:trainer_intro_4b|Mogę chyba przejść do ćwiczeń.
dlga_trainer_intro_4a:trainer_talk_combat|Cóż, pytaj, o co chcesz.
dlga_trainer_intro_4b:trainer_practice_1|Dobrze. Dobrze, że jest ktoś chętny do ćwiczeń. Zobaczmy, jak sobie poradzisz.
dlga_start:trainer_practice_1|To była dobra walka. 
dlga_start:trainer_practice_1.1|Ha! Wygląda na to, że ktoś tu rozmarzył i dostał łomot! Nie martw się, nawet porażki mają swoją wartość, o ile się na nich uczysz. Otrząśnij się i kontynuuj, inaczej wygrać się nie da...
dlga_start:trainer_talk|Witaj. I jak tam? Got{ów/owa} do ćwiczeń?
dlga_trainer_pretalk:trainer_talk|To jak? {reg3?Gotowa:Gotowy} do ćwiczeń?
dlga_trainer_talk:trainer_practice_1|Tak! Jestem w pełnej gotowości.
dlga_trainer_talk:trainer_combat_begin|Jeszcze nie. Najpierw powiedz mi coś na temat walki...
dlga_trainer_talk:close_window|Muszę już iść. Do zobaczenia.
dlga_trainer_combat_begin:trainer_talk_combat|Co chcesz wiedzieć?
dlga_trainer_combat_pretalk:trainer_talk_combat|Co jeszcze chcesz wiedzieć?
dlga_trainer_talk_combat:trainer_explain_defense|Powiedz mi, jak się bronić.
dlga_trainer_talk_combat:trainer_explain_attack|Powiedz mi coś na temat atakowania.
dlga_trainer_talk_combat:trainer_explain_horseback|Powiedz mi o walce w siodle.
dlga_trainer_talk_combat:trainer_pretalk|Chyba znam już całą niezbędną teorię. Przejdźmy może do ćwiczeń...
dlga_trainer_explain_defense:trainer_explain_defense_2|Dobre pytanie. Pierwszą rzeczą, jaką musi poznać wojownik, jest obrona. Pierwszą zasadą walki jest zejście z linii ataku, jest to nawet ważniejsze od atakowania innych. Każdy może machać mieczem w nadziei, że przetnie jakieś ciało, ale tylko ci wojownicy, którzy są ekspertami w obronie przeżyją, by o tym opowiedzieć.
dlga_trainer_explain_defense_2:trainer_explain_defense_3|No dobrze. Obrona jest najprostsza, jeśli masz ze sobą tarczę. Wystarczy nią blokować uderzenia. [Przytrzymaj prawy przycisk myszy, aby bronić się za pomocą tarczy.] Wówczas możesz odbijać wszystkie ataki, które wyprowadzane są od frontu. Wciąż jednak istnieje możliwość otrzymania ran z boku lub z tyłu.
dlga_trainer_explain_defense_3:trainer_explain_defense_4|A jeśli nie mam tarczy?
dlga_trainer_explain_defense_4:trainer_combat_pretalk|Wówczas musisz używać broni do blokowania przeciwnika. Jest to trochę trudniejsze od blokowania tarczą. Parując bronią, możesz blokować tylko jeden kierunek ataku. Znaczy to, że blokujesz tylko uderzenia znad głowy, z boku lub pchnięcia. Musisz więc uważnie obserwować swojego przeciwnika i blokować w momencie, gdy wyprowadza atak. W ten sposób możesz zablokować kierunek nadchodzącego ataku. Jeśli zaczniesz parować przed jego atakiem, to może po prostu zmienić kierunek i trafi cię.
dlga_trainer_explain_attack:trainer_explain_attack_2|Dobre pytanie. Powiadają, że atak jest najlepszą obroną. Taktyka stosowana przez wielu wojowników polega na tym, że przyjmują postawę ofensywną i szykują się do ataku, czekając na odpowiedni moment. [Możesz przygotować broń do ataku, przytrzymując lewy przycisk myszy.]
dlga_trainer_explain_attack_2:trainer_explain_attack_3|To brzmi dobrze.
dlga_trainer_explain_attack_3:trainer_explain_attack_4|To dobra taktyka, ale pamiętaj, że twój przeciwnik może to zobaczyć i przyjąć postawę obronną w kierunku, w którym wyprowadzisz uderzenie. Jeśli tak się stanie, musisz przerwać atak i szybko zaatakować z innej strony [Możesz anulować bieżący atak szybko naciskając prawy przycisk myszy].
dlga_trainer_explain_attack_4:trainer_explain_attack_5|Jeśli mój przeciwnik broni się w kierunku, w którym atakuję, to przerywam atak i wyprowadzam go z innej strony, tak?
dlga_trainer_explain_attack_5:trainer_combat_pretalk|Tak, wybór kierunku uderzenia jest bardzo ważną umiejętnością. Istnieją cztery główne kierunki ataku: cięcie z prawej, cięcie z lewej, cięcie znad głowy i pchnięcie. Z każdego z nich należy mądrze korzystać. [Aby kontrolować kierunek cięcia, przesuń mysz w kierunku, z którego ma nadejść uderzenie i naciśnij lewy przycisk myszy.]
dlga_trainer_explain_horseback:trainer_combat_pretalk|Bardzo dobre pytanie. Koń może być najpotężniejszą bronią wojownika w walce. Zapewnia on prędkość, wysokość, siłę i inicjatywę. Wiele zabójczych broni staje się jeszcze bardziej zabójcza w siodle. Musisz jednak uważać na konnych przeciwników, którzy opuszczają lance do ataku, ponieważ jednym trafieniem mogą powalić każdego przeciwnika. [Aby samemu użyć nachylonej lancy, przyspiesz na koniu bez naciskania przycisków odpowiadających za atak czy obronę. Po nabraniu prędkości opuścisz lancę. Wówczas postaraj się wycelować w przeciwnika, manewrując koniem.]
dlga_trainer_practice_1:trainer_practice_1|Szkolę nowicjuszy w czterech etapach, z których każdy jest trudniejszy od poprzedniego. W celu ukończenia etapu i przejścia do kolejnego, musisz wygrać trzy walki pod rząd.
dlga_trainer_practice_1:novicemaster_are_you_ready|Udało ci się przejść wszystkie etapy szkolenia. Możesz jednak dalej ćwiczyć, jeśli tylko chcesz. Jesteś {reg3?gotowa:gotowy}?
dlga_trainer_practice_1:trainer_practice_1.1|Znakomicie, {chłopcze/dziewko}. Dzięki temu zwycięstwu przechodzisz na następny poziom szkolenia. Odtąd twoimi przeciwnikami będą zawodowi wojownicy, a nie hałastra z ulicy, więc uważaj na siebie.
dlga_trainer_practice_1:trainer_practice_1.2|Znakomicie, {chłopcze/dziewko}. Witaj na trzecim poziomie szkolenia. Odtąd twoimi przeciwnikami będą weterani, żołnierze i zawodnicy z areny. Ci faceci znają kilka niegrzecznych sztuczek, więc nie zapominaj o obronie.
dlga_trainer_practice_1:trainer_practice_1.3|Masz serce mistrza, {chłopcze/dziewko}, oraz rękę, która potrafi trzymać miecz. Od tej pory twoimi przeciwnikami będą prawdziwi mistrzowie. To prawdziwa śmietanka, najlepsi moi podopieczni. Jeśli pokonasz trzech pod rząd, dołączysz do ich szeregów.
dlga_trainer_practice_1:novicemaster_finish_training|Moje serce puchnie z dumy, kiedy widzę taki obiecujący talent. Udało ci się przejść wszystkie etapy szkolenia. Możesz teraz powiedzieć wszystkim, że to ja, mistrz z obozu szkoleniowego, ciebie wyszkoliłem.
dlga_novicemaster_finish_training:novicemaster_finish_training_2|Dziękuję, mistrzu.
dlga_novicemaster_finish_training_2:close_window|Życzę ci powodzenia na turniejach. I nie zapomnij, jeśli zechcesz potrenować walkę mieczem - wystarczy jedno słowo.
dlga_trainer_practice_1:novicemaster_are_you_ready.1|Twoim następnym przeciwnikiem będzie {s9}. Musisz wygrać jeszcze {reg8} walki pod rząd, aby przejść do następnego etapu. Kontynuujesz?
dlga_novicemaster_are_you_ready:novicemaster_ready_to_fight|Oczywiście.
dlga_novicemaster_ready_to_fight:close_window|No to do roboty. Powodzenia.
dlga_novicemaster_are_you_ready:novicemaster_not_ready|Chwileczkę. Potrzebuję jeszcze odrobiny czasu.
dlga_novicemaster_not_ready:close_window|Hej, nigdy ci się nie uda, jeśli nie będziesz ćwiczyć.
dlga_start_craftsman_soon:close_window|Witaj, {panie/moja pani}. Planujemy rozpocząć produkcję za około {reg4} dni.
dlga_start:master_craftsman_talk|Witaj, {mój panie/moja pani}. Jesteśmy zaszczyceni twoimi odwiedzinami. Czegóż sobie życzysz?
dlga_master_craftsman_pretalk:master_craftsman_talk|Bardzo dobrze, {panie/pani}. Czy potrzebujesz czegoś jeszcze?
dlga_master_craftsman_talk:master_craftsman_accounts|Przejdźmy do rozliczeń.
dlga_master_craftsman_talk:master_craftsman_pretalk|Sprawdźmy inwentarz.
dlga_master_craftsman_talk:master_craftsman_pretalk.1|Proszę o sprzedaż wszystkich produkowanych dóbr.
dlga_master_craftsman_talk:master_craftsman_pretalk.2|Proszę o zmagazynowanie wszystkich wyprodukowanych dóbr do czasy mojej kolejnej wizyty.
dlga_master_craftsman_accounts:master_craftsman_pretalk|We currently produce {s3} worth {reg1} denars each week, while the quantity of {s4} needed to manufacture it costs {reg2}, and labor and upkeep are {reg3}.{s9} This means that we theoretically make a {s12} of {reg0} denars a week, assuming that we have no raw materials in the inventories, and that we sell directly to the market.
dlga_master_craftsman_talk:master_craftsman_production_options|Możesz przybliżyć mi nieco moje możliwości związane z produkcją?
dlga_master_craftsman_production_options:master_craftsman_production_options_2|Oczywiście, {panie/moja pani}. Przez większość czasu, najbardziej opłacalną rzeczą będzie pozwolenie nam na zakup surowców wprost z rynku, a następnie sprzedawanie na nim wyprodukowanych dóbr. Długoterminowe umowy z kupcami pozwalają zazwyczaj na wynegocjowanie lepszych cen.
dlga_master_craftsman_production_options_2:master_craftsman_pretalk|However, if you find that you can acquire raw materials cheaper outside {s5}, you may place them in the inventories, and we will use them instead of buying from the market. Likewise, if you feel that you can get a better price for the finished goods elsewhere, then you may ask us to deposit what we produce in our warehouses for you to take.|Jednakże, jeśli dowiesz się, że możesz pozyskać surowce taniej po za {s5}, możesz je umieścić w swym inwentarzu, a my wykorzystamy je zamiast nabywać droższe na rynku. Podobnie, jeśli dowiesz się, że gdzieś można drożej sprzedać wyrabiane przez nas dobra, skontaktuj się z nami i ustalimy, co i w jakiej ilości mamy odkładać w magazynie, być później {mógł/mogła} sprzedać to po wyższej cenie.
dlga_master_craftsman_talk:master_craftsman_auction_price|Nie będę już w stanie dłużej utrzymywać tej faktorii.
dlga_master_craftsman_auction_price:master_craftsman_auction_decide|Szkoda, {panie/moja pani}. Jeśli sprzedamy ziemię, sprzęt i cały inwentarz, to myślę, że możemy na tym zyskać {reg4} denarów.
dlga_master_craftsman_auction_decide:master_craftsman_liquidation|Brzmi rozsądnie. Proszę kontynuować sprzedaż.
dlga_master_craftsman_auction_decide:master_craftsman_pretalk|Hmm... Wstrzymajmy się.
dlga_master_craftsman_liquidation:close_window|Jak sobie życzysz. To był zaszczyt móc pracować w twoim zakładzie.
dlga_master_craftsman_talk:close_window.1|To na razie wszystko.
dlga_start:mayor_begin|Witaj, {mój panie/moja pani}.
