str_no_string|NO STRING!
str_kais_and_layali_three_hundred_stanzas_of_pathetic_sniveling_if_you_ask_me_if_kais_wanted_to_escape_heartbreak_he_should_have_learned_to_live_within_his_station_and_not_yearn_for_what_he_cannot_have|Hmm... ''Kais i Layali''? Trzysta strof żałosnego biadolenia, jeśli chcesz znać moje zdanie. Jeśli Kais chciał uniknąć złamanego serca, mógł siedzieć na swoim posterunku i nie marzyć o czymś, czego nie mógł mieć.
str_kais_and_layali_no_one_should_ever_have_written_such_a_sad_poem_if_it_was_the_destiny_of_kais_and_layali_to_be_together_than_their_love_should_have_conquered_all_obstacles|Hmm... ''Kais i Layali''? Nikt nie powinien pisać tak smutnego poematu. Jeśli przeznaczeniem Kaisa i Layali było być ze sobą, to ich miłość powinna pokonać wszelkie przeszkody.
str_ah_kais_and_layali_a_very_old_standby_but_moving_in_its_way|Ach, ''Kais i Layali''. Bardzo stary klask, ale na swój sposób poruszający.
str_the_saga_of_helgered_and_kara_such_happy_times_in_which_our_ancestors_lived_women_like_kara_could_venture_out_into_the_world_like_men_win_a_name_for_themselves_and_not_linger_in_their_husbands_shadow|Saga o ''Helgeredzie i Karze''? W tak radosnych czasach żyli nasi przodkowie! Kobiety takie jak Kara mogły wędrować, zdobywać sławę i nie musiały stać w cieniu mężów.
str_ah_the_saga_of_helgered_and_kara_now_there_was_a_lady_who_knew_what_she_wanted_and_was_not_afraid_to_obtain_it|Saga o ''Helgeredzie i Karze''? To była kobieta, która wiedziała, czego chce, i nie bała się po to sięgnąć.
str_the_saga_of_helgered_and_kara_a_terrible_tale__but_it_speaks_of_a_very_great_love_if_she_were_willing_to_make_war_on_her_own_family|Saga o ''Helgeredzie i Karze''? Straszna historia, ale opowiada o wielkiej miłości, ponieważ w jej imię przeciwstawiła się własnej rodzinie.
str_the_saga_of_helgered_and_kara_as_i_recall_kara_valued_her_own_base_passions_over_duty_to_her_family_that_she_made_war_on_her_own_father_i_have_no_time_for_a_poem_which_praises_such_a_woman|Saga o ''Helgeredzie i Karze''? O ile pamiętam, to opowieść o kobiecie, która, dla zaspokojenia żądz, sprzeciwiła się własnej rodzinie i walczyła z własnym ojcem. Nie mam czasu na opowieści o takich kobietach.
str_the_saga_of_helgered_and_kara_how_could_a_woman_don_armor_and_carry_a_sword_how_could_a_man_love_so_ungentle_a_creature|Saga o ''Helgeredzie i Karze''? Jak kobieta może nosić zbroję i używać miecza! Jak mężczyzna może kochać tak niedelikatną kreaturę?
str_a_conversation_in_the_garden_i_cannot_understand_the_lady_in_that_poem_if_she_loves_the_man_why_does_she_tease_him_so|Hmm... ''Rozmowa w ogrodzie''? Nie rozumiem tej kobiety. Skoro kocha tego mężczyznę, to czemu tak go zwodzi?
str_a_conversation_in_the_garden_let_us_see__it_is_morally_unedifying_it_exalts_deception_it_ends_with_a_maiden_surrendering_to_her_base_passions_and_yet_i_cannot_help_but_find_it_charming_perhaps_because_it_tells_us_that_love_need_not_be_tragic_to_be_memorable|Hmm... ''Rozmowa w ogrodzie''? Niech pomyślę, jest moralnie niedefiniowalny, egzaltuje podstęp i kończy się sceną, w której kobieta poddaje się podstawowym instynktom... Mimo tego, nie mogę się powstrzymać przed nazwaniem go czarującym. Może dlatego, że uczy nas miłości, która nie musi być tragiczna, by ją zapamiętać.
str_a_conversation_in_the_garden_now_that_is_a_tale_every_lady_should_know_by_heart_to_learn_the_subtleties_of_the_politics_she_must_practice|Hmm... ''Rozmowa w ogrodzie''? Oto poemat, który każda kobieta winna znać na pamięć, by nauczyć się subtelności polityki!
str_a_conversation_in_the_garden_it_is_droll_i_suppose__although_there_is_nothing_there_that_truly_stirs_my_soul|Hmm... ''Rozmowa w ogrodzie''? To zabawne, ale nie ma tam nic, co poruszyłoby mą duszę.
str_storming_the_fortress_of_love_ah_yes_the_lady_sits_within_doing_nothing_while_the_man_is_the_one_who_strives_and_achieves_i_have_enough_of_that_in_my_daily_life_why_listen_to_poems_about_it|Hmm... ''Szturm na fortecę miłości''? Ach, tak. Kobieta siedzi i nic nie robi, podczas gdy mężczyzna czyni starania i zwycięża. Mam tego dość w życiu codziennym, po co mi jeszcze takie wiersze?
str_storming_the_fortress_of_love_ah_yes_an_uplifting_tribute_to_the_separate_virtues_of_man_and_woman|Hmm... ''Szturm na fortecę miłości''? Ach, tak. Podnoszący na duchu hołd złożony cnocie mężczyzny i kobiety.
str_storming_the_fortress_of_love_ah_yes_but_although_it_is_a_fine_tale_of_virtues_it_speaks_nothing_of_passion|Hmm... ''Szturm na fortecę miłości''? Ach, tak. Doskonała opowieść o cnocie, lecz nie mówi nic o namiętności!
str_storming_the_fortress_of_love_ah_a_sermon_dressed_up_as_a_love_poem_if_you_ask_me|Hmm... ''Szturm na fortecę miłości''? Jak dla mnie, to tylko kazanie udające wiersz miłosny.
str_a_hearts_desire_ah_such_a_beautiful_account_of_the_perfect_perfect_love_to_love_like_that_must_be_to_truly_know_rapture|Hmm... ''Pragnienie serca''? Ach, cóż za piękne odwzorowanie perfekcyjnej miłości! By tak kochać, trzeba prawdziwie wiedzieć, czym jest zachwyt!
str_a_hearts_desire_silly_if_you_ask_me_if_the_poet_desires_a_lady_then_he_should_endeavor_to_win_her__and_not_dress_up_his_desire_with_a_pretense_of_piety|Hmm... ''Pragnienie serca''? Według mnie, to głupota. Jeśli poeta pragnie kobiety, powinien spróbować ją zdobyć, a nie ubierać swoje żądze w przebranie pobożności!
str_a_hearts_desire_hmm__it_is_an_interesting_exploration_of_earthly_and_divine_love_it_does_speak_of_the_spiritual_quest_which_brings_out_the_best_in_man_but_i_wonder_if_the_poet_has_not_confused_his_yearning_for_higher_things_with_his_baser_passions|Hmm... ''Pragnienie serca''? Hm... Niezwykle interesująca podróż przez ziemską i boską miłość. Opowiada historię duchowej podróży, która pokazuje, co w człowieku najlepsze. Zastanawiam się jednak, czy poeta przypadkiem nie pomylił dążenia do wyższych celów ze zwykłymi żądzami.
str_a_hearts_desire_oh_yes__it_is_very_worthy_and_philosophical_but_if_i_am_to_listen_to_a_bard_strum_a_lute_for_three_hours_i_personally_prefer_there_to_be_a_bit_of_a_story|Hmm... ''Pragnienie serca''? Tak, to niezwykle wartościowy i filozoficzny poemat. Jednak, kiedy mam słuchać barda grającego na lutni przez trzy godziny, wolę, żeby w utworze była jakaś opowieść.
str_reg3_units_of_s4_for_reg5_guests_and_retinue|{reg3} jednostek {s4} dla {reg5} gości i ich świty
str_reg3_units_of_spice_of_reg5_to_be_consumed|{reg3} jednostek przypraw z {reg5}, do skonsumowania
str_reg3_units_of_oil_of_reg5_to_be_consumed|{reg3} jednostek oleju z {reg5}, do skonsumowania
str_of_food_which_must_come_before_everything_else_the_amount_is_s8|Ogólnie, zapas jedzenia, które musi pojawić się przed wszystkimi mamy {s8}
str_s9_and_the_variety_is_s8_|{s9}, a zakres rodzajów jest {s8}.
str_s9_of_drink_which_guests_will_expect_in_great_abundance_the_amount_is_s8|{s9} Zapas napojów, których goście będą wypatrywać z niecierpliwością, jest {s8}
str_s9_of_spice_which_is_essential_to_demonstrate_that_we_spare_no_expense_as_hosts_the_amount_is_s8_|{s9} Przypraw, które oznaczają, że nie oszczędzamy, jako gospodarze, mamy {s8} zapas. 
str_s9_of_oil_which_we_shall_require_to_light_the_lamps_the_amount_is_s8|{s9} Zapas oleju, którego zapasy będą potrzebne do zapalania lamp, mamy {s8}.
str_s9_overall_our_table_will_be_considered_s8|{s9} Podsumowując, nasz stół zostanie oceniony jako {s8}.
str_rebel|rebeliant
str_bandit|bandyta
str_relation_of_prisoner_with_captor_is_reg0|relacja pojmanego w stosunku do porywacza: {reg0}
str_s5_suffers_attrition_reg3_x_s4|{s5} cierpi skruchę: {reg3} x {s4}
str_s10_said_on_s1_s11__|{s10} powiedział ({s1}): {s11}^^
str_totalling_casualties_caused_during_mission|Obliczanie strat poniesionych w trakcie misji...
str_removing_s4_from_s5|Usuwanie {s4} z {s5}
str_s4_joins_prison_break|{s4} dołącza do ucieczki z więzienia
str_helper_is_spawned|pomocnik się odradza.
str_leaving_area_during_prison_break|Opuszcza teren podczas ucieczki z więzienia
str_talk_to_the_trainer|Porozmawiaj z trenerem.
str_woman|kobieta
str_man|mężczyzna
str_noble|szlacheckiego
str_common|zwykłego
str_may_find_that_you_are_able_to_take_your_place_among_calradias_great_lords_relatively_quickly|możesz przypuszczać, że droga do miejsca pośród wielkich lordów nie jest taka długa
str_may_face_some_difficulties_establishing_yourself_as_an_equal_among_calradias_great_lords|możesz napotkać jakieś przeciwności w umacnianiu swojej pozycji pośród wielkich lordów Calradii
str_may_face_great_difficulties_establishing_yourself_as_an_equal_among_calradias_great_lords|możesz napotkać wiele przeciwności w umacnianiu swojej pozycji pośród wielkich lordów Calradii
str_current_party_morale_is_reg5_current_party_morale_modifiers_are__base_morale__50_party_size_s2reg1_leadership_s3reg2_food_variety_s4reg3s5s6_recent_events_s7reg4_total__reg5___|Obecne morale oddziału wynosi {reg5}.^Modyfikatorami obecnego morale oddziału są:^^Podstawowe morale: +{reg6}^Rozmiar oddziału: {s2}{reg1}^Dowodzenie: {s3}{reg2}^Różnorodność jedzenia: {s4}{reg3}{s5}{s6}^Ostatnie wydarzenia: {s7}{reg4}^RAZEM: {reg5}^^^
str_s1extra_morale_for_s9_troops__reg6_|{s1}Modyfikator morale dla jednostek reprezentujących {s9}: {reg6}^
str_courtships_in_progress_|Zabieganie o względy:^
str_s1_s2_relation_reg3_last_visit_reg4_days_ago|{s1}^{s2}, relacja: {reg3}, ostatnia wizyta {reg4} dni temu
str_s1__poems_known|{s1}^^Znane poematy:
str_s1_storming_the_castle_of_love_allegoric|{s1}^Szturmując zamek miłości (alegoryczny)
str_s1_kais_and_layali_tragic|{s1}^Kais i Layali (tragedia)
str_s1_a_conversation_in_the_garden_comic|{s1}^Rozmowa w ogrodzie (komediowy)
str_s1_helgered_and_kara_epic|{s1}^Helgered i Kara (epicki)
str_s1_a_hearts_desire_mystic|{s1}^Pragnienie serca (mistyczny)
str_no_companions_in_service|Brak kompanów na służbie
str_gathering_support|Zbieranie wsparcia
str_expected_back_imminently|Niezwłoczny powrót
str_expected_back_in_approximately_reg3_days|Planowany powrót za {reg3} dni
str_gathering_intelligence|Zbieranie wywiadu
str_diplomatic_embassy_to_s9|Misja dyplomatyczna dyplomatyczna, której celem jest {s9}
str_serving_as_minister|Służy w roli ministra
str_in_your_court_at_s9|Na twoim dworze w miejscowości o nazwie {s9}
str_under_arms|Pod bronią
str_in_your_party|W twoim oddziale
str_attacking_enemy_army_near_s11|Atakuje armię wroga w okolicach miejscowości o nazwie {s11}
str_holding_feast_at_s11|Organizuję ucztę w w miejscowości o nazwie {s11}
str_s9s10_current_state_s11_hours_at_current_state_reg3_current_strategic_thinking_s14_marshall_s12_since_the_last_offensive_ended_reg4_hours_since_the_decisive_event_reg10_hours_since_the_last_rest_reg9_hours_since_the_last_feast_ended_reg5_hours_percent_disgruntled_lords_reg7_percent_restless_lords_reg8__|{s9}{s10}^Stan obecny: {s11}^Godziny obecnego stanu: {reg3}^Aktualna polityka strategiczna: {s14}^Marszałek: {s12}^Od zakończenia ostatniej ofensywy: {reg4} godz.^Od wydarzenia przełomowego: {reg10} godz.^Od ostatniego odpoczynku trwającego 18+ godzin: {reg9} godz.^Od zakończenia ostatniej uczty: {reg5} godz.^Procent lordów bez ziemi: {reg7}%^Procent niespokojnych lordów: {reg8}%^^
str__right_to_rule_reg12|^Prawo do rządzenia: {reg12}.
str_political_arguments_made_legality_reg3_rights_of_lords_reg4_unificationpeace_reg5_rights_of_commons_reg6_fief_pledges_reg7|Argumenty polityczne:^Legalność: {reg3}^Prawa lordów: {reg4}^Unifikacja/pokój: {reg5}^Prawa pospólstwa: {reg6}^Obietnice lenna: {reg7}
str_renown_reg2_honour_rating_reg3s12_friends_s8_enemies_s6_s9|Reputacja: {reg2}.^Wskaźnik honoru: {reg3}.{s12}^Przyjaciele: {s8}.^Wrogowie: {s6}.^{s9}
str_you_lie_stunned_for_several_minutes_then_stagger_to_your_feet_to_find_your_s10_standing_over_you_you_have_lost_the_duel|Leżysz w kurzu pokrywającym arenę przez kilka minut, po czym ledwo się podnosisz, a nad tobą stoi {s10}. Przegrywasz pojedynek.
str_s10_lies_in_the_arenas_dust_for_several_minutes_then_staggers_to_his_feet_you_have_won_the_duel|{s10} leży w kurzu pokrywającym arenę przez kilka minut, po czym ledwo się podnosi. Wygrywasz pojedynek.
str__this_castle_is_temporarily_under_royal_control|Tymczasową władzę nad tym zamkiem sprawuje królestwo.
str__this_castle_does_not_seem_to_be_under_anyones_control|Wydaje się, że nikt nie kontroluje tego zamku.
str__this_town_is_temporarily_under_royal_control|To miasto przechodzi tymczasowo pod kontrolę królestwa.
str__the_townspeople_seem_to_have_declared_their_independence| Wygląda na to, że mieszczanie ogłosili samodzielność.
str_to_your_husband_s11|twojemu mężowi, {s11}.
str__you_see_the_banner_of_your_wifehusband_s7_over_the_castle_gate| Nad bramą zamku widzisz sztandar {żony/męża}, {s7}.
str__the_banner_of_your_wifehusband_s7_flies_over_the_town_gates| Sztandar {żony/męża}, {s7}, powiewa nad bramami miasta.
str__the_lord_is_currently_holding_a_feast_in_his_hall|^Lord wraz z gośćmi ucztuje właśnie na swoim dworze.
str__join_the_feast| (dołącz do uczty)
str_belligerent_drunk_in_s4|{s4} - agresywny pijak
str_belligerent_drunk_not_found|Nie znaleziono agresywnego pijaka
str_roughlooking_character_in_s4|{s4} - osoba wyglądająca na twardą
str_roughlooking_character_not_found|Nie znaleziono osoby wyglądającej na twardą
str__however_you_have_sufficiently_distinguished_yourself_to_be_invited_to_attend_the_ongoing_feast_in_the_lords_castle|. Zdołałeś wyróżnić się na tyle, by zostać zaproszonym na ucztę trwającą na zamku lorda.
str_s8_you_are_also_invited_to_attend_the_ongoing_feast_in_the_castle|{s8} Dostajesz również zaproszenie do wzięcia udziału w uczcie odbywającej się na zamku.
str_s11_unfortunately_s12_was_wounded_and_had_to_be_left_behind|{s11} Niestety, {s12} został ranny i musiał{eś/aś} go zostawić.
str_s11_also_s12_was_wounded_and_had_to_be_left_behind|{s11}, również {s12} został ranny i musiał{eś/aś} go zostawić.
str_with_the_s10|{s10}
str_outside_calradia|poza Calradią.
str_you_have_been_indicted_for_treason_to_s7_your_properties_have_been_confiscated_and_you_would_be_well_advised_to_flee_for_your_life|Zostałeś oskarżony o zdradę: {s7}. Twój majątek został skonfiskowany, a ty sam lepiej uciekaj, aby ratować życie.
str_by_order_of_s6_s4_of_the_s5_has_been_indicted_for_treason_the_lord_has_been_stripped_of_all_reg4herhis_properties_and_has_fled_for_reg4herhis_life_he_is_rumored_to_have_gone_into_exile_s11|{s4} ({s5}), zgodnie z rozkazem, którego autorem jest {s6}, został oskarżony o zdradę! Lord ten w swojej ojczyźnie został pozbawiony całego majątku i musiał zbiec za granice kraju, by ocalić swe życie. Wieść niesie, że udał się na wygnanie do kraju o nazwie {s11}.
str_local_notables_from_s1_a_village_claimed_by_the_s4_have_been_mistreated_by_their_overlords_from_the_s3_and_petition_s5_for_protection|miejscowi dostojnicy z {s1}, wioski, do której pretensje rości sobie {s4}, zostali źle potraktowani przez swoich panów z {s3} i proszą {s5} o ochronę
str_villagers_from_s1_stole_some_cattle_from_s2|wieśniacy z {s1} skradli trochę bydła z {s2}
str_villagers_from_s1_abducted_a_woman_from_a_prominent_family_in_s2_to_marry_one_of_their_boys|wieśniacy z {s1} porwali kobietę z możnej rodziny z {s2}, aby wydać ją za mąż za jednego z ich chłopców
str_villagers_from_s1_killed_some_farmers_from_s2_in_a_fight_over_the_diversion_of_a_stream|wieśniacy z {s1} zabili kilku chłopów z {s2}, walcząc o odwrócenie kierunku strumienia
str_your_new_minister_|Twój nowy minister 
str_s10_is_your_new_minister_and_|{s10} to twój nowy minister, który obecnie 
str_due_to_the_fall_of_s10_your_court_has_been_relocated_to_s12|Z powodu upadku miejscowości {s10}, twój dwór został przeniesiony. {s11} jest jego nową siedzibą
str_after_to_the_fall_of_s10_your_faithful_vassal_s9_has_invited_your_court_to_s11_|Po stracie miejscowości {s10}, twój wierny wasal, {s9}, zaproponował, by twój dwór odwiedził {s11} 
str_after_to_the_fall_of_s11_your_court_has_nowhere_to_go|Po stracie miejscowości o nazwie {s11}, twój dwór nie ma się dokąd udać
str_s8_wishes_to_inform_you_that_the_lords_of_s9_will_be_gathering_for_a_feast_at_his_great_hall_in_s10_and_invites_you_to_be_part_of_this_august_assembly|{s8} pragnie poinformować cię, że szlachta reprezentująca {s9} spotka się na uczcie w jego wspaniałym dworze w miejscowości {s10} i zaprasza cię, byś również wzi{ął/ęła} udział w tym dostojnym zgromadzeniu.
str_consult_with_s11_at_your_court_in_s12|Zasięgnij porady u człowieka o imieniu {s11}, na swoim dworze w miejscowości {s12}
str_as_brief_as_our_separation_has_been_the_longing_in_my_heart_to_see_you_has_made_it_seem_as_many_years|Choć krótka była nasza rozłąka, płynąca z serca tęsknota za twoim widokiem sprawiła, iż wydawało mi się, że było to wiele lat.
str_although_it_has_only_been_a_short_time_since_your_departure_but_i_would_be_most_pleased_to_see_you_again|Choć od twojego wyjazdu nie minęło wiele czasu, pragnę znów cię zobaczyć.
str_although_i_have_received_no_word_from_you_for_quite_some_time_i_am_sure_that_you_must_have_been_very_busy_and_that_your_failure_to_come_see_me_in_no_way_indicates_that_your_attentions_to_me_were_insincere_|Choć od pewnego czasu nie otrzymuję od ciebie żadnych wiadomości, jestem pewna, iż jesteś bardzo zajęty i fakt, iż nie przyjechałeś się ze mną zobaczyć, nie wskazuje, iż twoje zainteresowanie mną nie było szczere. 
str_i_trust_that_you_have_comported_yourself_in_a_manner_becoming_a_gentleman_during_our_long_separation_|Ufam, że w czasie naszej długiej rozłąki postępowałeś w sposób godny dżentelmena. 
str_it_has_been_many_days_since_you_came_and_i_would_very_much_like_to_see_you_again|Wiele dni minęło od czasu twojego przyjazdu i bardzo chciałabym znów cię zobaczyć.
str__you_should_ask_my_s11_s16s_permission_but_i_have_no_reason_to_believe_that_he_will_prevent_you_from_coming_to_see_me| Powinieneś poprosić, by mój {s11}, {s16}, wyraził zgodę na nasze spotkanie, ale nie mam powodów, by myśleć, iż powstrzymałoby cię to od przyjazdu, by się ze mną spotkać.
str__you_should_first_ask_her_s11_s16s_permission|. Najpierw powinieneś poprosić, by zgodę wyraził jej {s11}, {s16}
str__alas_as_we_know_my_s11_s16_will_not_permit_me_to_see_you_however_i_believe_that_i_can_arrange_away_for_you_to_enter_undetected| Niestety, jak wiemy, mój {s11}, {s16}, nie pozwoli mi się z tobą zobaczyć. Wierzę jednak, że uda mi się zorganizować wszystko tak, byś wszedł w tajemnicy.
str__as_my_s11_s16_has_already_granted_permission_for_you_to_see_me_i_shall_expect_your_imminent_arrival| Ponieważ mój {s11}, {s16}, zgodził się już na nasze spotkanie, oczekuję, że przybędziesz niebawem.
str_visit_s3_who_was_last_at_s4s18|Odwiedź osobę o imieniu {s3}, która była ostatnio w miejscowości o nazwie {s4}.{s18}
str_the_guards_at_the_gate_have_been_ordered_to_allow_you_through_you_might_be_imagining_things_but_you_think_one_of_them_may_have_given_you_a_wink|Strażnikom przy bramie kazano cię przepuścić. Różne myśli mogą chodzić ci po głowie, ale podejrzewasz, że jeden z nich mrugnął do ciebie.
str_the_guards_glare_at_you_and_you_know_better_than_to_ask_permission_to_enter_however_as_you_walk_back_towards_your_lodgings_an_elderly_lady_dressed_in_black_approaches_you_i_am_s11s_nurse_she_whispers_urgently_don_this_dress_and_throw_the_hood_over_your_face_i_will_smuggle_you_inside_the_castle_to_meet_her_in_the_guise_of_a_skullery_maid__the_guards_will_not_look_too_carefully_but_i_beg_you_for_all_of_our_sakes_be_discrete|Strażnicy patrzą się na ciebie i wiesz, że lepiej nie pytać, czy możesz wejść. Kiedy jednak wracasz do swojego pokoju, zbliża się do ciebie starsza, ubrana na czarno kobieta. ''Jestem opiekunką {s11}'' - szybko szepcze. ''Załóż to ubranie i narzuć na głowę kaptur. Przeprowadzę cię do zamku, byś mógł się z nią spotkać - będziesz przebrany za służkę, ale strażnicy nie będą się przyglądać zbyt dokładnie, więc powinno się udać. Ale błagam cię na wszystko, bądź dyskretny!''
str_the_guards_glare_at_you_and_you_know_better_than_to_ask_permission_to_enter_however_as_you_walk_back_towards_your_lodgings_an_elderly_lady_dressed_in_black_approaches_you_i_am_s11s_nurse_she_whispers_urgently_wait_for_a_while_by_the_spring_outside_the_walls_i_will_smuggle_her_ladyship_out_to_meet_you_dressed_in_the_guise_of_a_shepherdess_but_i_beg_you_for_all_of_our_sakes_be_discrete|Strażnicy patrzą się na ciebie i wiesz, że lepiej nie pytać, czy możesz wejść. Kiedy jednak wracasz do swojego pokoju, zbliża się do ciebie starsza, ubrana na czarno kobieta. ''Jestem opiekunką {s11}'' - szybko szepcze. ''Poczekaj chwilę przy źródle za murami. Przyprowadzę jaśnie panią, by mogła się z tobą spotkać - będzie przebrana za pasterkę. Ale błagam cię na wszystko, bądź dyskretny!''.
str_the_guards_glare_at_you_and_you_know_better_than_to_ask_permission_to_enter_however_as_you_walk_back_towards_your_lodgings_an_elderly_lady_dressed_in_black_approaches_you_i_am_s11s_nurse_she_whispers_urgently_her_ladyship_asks_me_to_say_that_yearns_to_see_you_but_that_you_should_bide_your_time_a_bit_her_ladyship_says_that_to_arrange_a_clandestine_meeting_so_soon_after_your_last_encounter_would_be_too_dangerous|Strażnicy patrzą się na ciebie i wiesz, że lepiej się nie pytać, czy możesz wejść. Kiedy jednak wracasz do swojego pokoju, zbliża się do ciebie ubrana na czarno, starsza kobieta.^''Jestem opiekunką {s11}.'' - szybko szepcze. ''Jaśnie pani prosi mnie, bym powiedziała, że pragnie się z tobą zobaczyć, ale powinieneś jeszcze trochę się wstrzymać. Jaśnie pani mówi, że zorganizowanie potajemnego spotkania tak szybko po ostatniej wizycie byłoby zbyt niebezpieczne.''
str_the_guards_glare_at_you_and_you_know_better_than_to_ask_permission_to_enter|Strażnicy patrzą się na ciebie i wiesz, że lepiej się nie pytać, czy możesz wejść.
str_party_with_commander_mismatch__check_log_for_details_|Drużyna niezgodna z dowódcą - sprawdź szczegóły
str_doing_political_calculations_for_s9|Wykonywanie politycznych kalkulacji. Cel: {s9}.
str_current_wealth_reg1|Aktualne bogactwo: {reg1}
str_wanted_bandits_spotted_by_s4|Ścigani bandyci dostrzeżeni przez: {s4}
str_s4_ready_to_voice_objection_to_s3s_mission_if_in_party|{s4} może się sprzeciwić misji, którą podejmuje {s3}, jeśli razem znajdą się w drużynie.
str_strange_that_one_didnt_seem_like_your_ordenary_troublemaker_he_didnt_drink_all_that_much__he_just_stood_there_quietly_and_watched_the_door_you_may_wish_to_consider_whether_you_have_any_enemies_who_know_you_are_in_town_a_pity_that_blood_had_to_be_spilled_in_my_establishment|Dziwne. Ten nie wydawał się zwykłym wichrzycielem. Wcale nie wypił tak dużo - po prostu tam cicho stał i patrzył na drzwi. Możesz się zastanowić, czy masz w mieście jakichś wrogów, którzy cię znają... Szkoda, że w moim domu musiała zostać rozlana krew...
str_you_never_let_him_draw_his_weapon_still_it_looked_like_he_was_going_to_kill_you_take_his_sword_and_purse_i_suppose_he_was_trouble_but_its_not_good_for_an_establishment_to_get_a_name_as_a_place_where_men_are_killed|Nigdy nie pozwól mu wyciągnąć broni... To i tak wyglądało, jakby zamierzał cię zabić. Może weź jego miecz i sakiewkę. Sprawiał problemy, ale nie jest dobrze, gdy dom zyskuje miano miejsca, w którym giną ludzie.
str_well_id_say_that_he_started_it_that_entitles_you_to_his_sword_and_purse_i_suppose_have_a_drink_on_the_house_as_i_daresay_youve_saved_a_patron_or_two_a_broken_skull_still_i_hope_he_still_has_a_pulse_its_not_good_for_an_establishment_to_get_a_name_as_a_place_where_men_are_killed|Cóż... Powiedziałbym, że to on zaczął. To, jak sądzę, daje ci prawo do jego miecza i sakiewki. Napij się na koszt domu, ponieważ śmiem twierdzić, że jeden albo dwóch bywalców zachowało dzięki tobie głowy. Wciąż mam jednak nadzieję, że ma puls. Nie jest dobrze, gdy dom zyskuje miano miejsca, w którym giną ludzie.
str_stop_no_shooting_no_shooting|Dosyć! Żadnego strzelania! Żadnego strzelania!
str_em_ill_stay_out_of_this|Em... Nie będę się w to mieszał.
str_the_s12_is_a_labyrinth_of_rivalries_and_grudges_lords_ignore_their_lieges_summons_and_many_are_ripe_to_defect|{s12} to labirynt pełen rywalizacji i pretensji. Lordowie ignorują wezwania swojego suzerena, a wielu gotowych jest zdradzić.
str_the_s12_is_shaky_many_lords_do_not_cooperate_with_each_other_and_some_might_be_tempted_to_defect_to_a_liege_that_they_consider_more_worthy|{s12} jest chwiejny. Wielu lordów nie współpracuje ze sobą, a niektórych może kusić myśl, by zdradzić, stając po stronie lepszego suzerena.
str_the_s12_is_fairly_solid_some_lords_bear_enmities_for_each_other_but_they_tend_to_stand_together_against_outside_enemies|{s12} jest dość stabilne. Niektórzy lordowie mają do siebie wrogi stosunek, trzymają się jednak razem w obliczu zewnętrznych wrogów.
str_the_s12_is_a_rock_of_stability_politically_speaking_whatever_the_lords_may_think_of_each_other_they_fight_as_one_against_the_common_foe|{s12} jest przykładem stabilizacji z politycznego punktu widzenia. Obojętnie, co lordowie myślą o sobie, walczą razem przeciwko wspólnemu wrogowi.
str_tribune_s12|Trybun {s12}
str_lady_s12|Pani {s12}
str_lord_s12|Lord {s12}
str_resolve_the_dispute_between_s11_and_s12|Rozwiąż spór pomiędzy {s11} i {s12}
str_in_doing_so_you_will_be_in_violation_of_your_truce_is_that_what_you_want|Czyniąc tak, naruszysz rozejm. Czy tego chcesz?
str_if_you_attack_without_provocation_some_of_your_vassals_may_consider_you_to_be_too_warlike_is_that_what_you_want|Jeśli zaatakujesz nie będąc sprowokowan{ym/ą}, to niektórzy z wasali mogą uznać twoje działania za nazbyt agresywne. Czy tego chcesz?
str_our_men_are_ready_to_ride_forth_at_your_bidding_are_you_sure_this_is_what_you_want|Nasi ludzie są gotowi jechać na twój rozkaz... Czy jesteś pewien, że tego właśnie chcesz?
str_seek_recognition|szukać uznania
str_seek_vassalhood|szukać poddaństwa
str_seek_a_truce|szukać zawieszenia broni
str__promised_fief| (obiecane lenno)
str_no_fiefss12|(brak lenna){s12}
str_fiefs_s0s12|(lenna: {s0}{s12})
str_please_s65_|Proszę, {s65}, 
str__s15_is_also_being_held_here_and_you_may_wish_to_see_if_reg4shehe_will_join_us| Także {s15} jest tu trzymany i możesz zechcieć zobaczyć, czy się do nas przyłączy.
str_one_thing_in_our_favor_is_that_s12s_grip_is_very_shaky_he_rules_over_a_labyrinth_of_rivalries_and_grudges_lords_often_fail_to_cooperate_and_many_would_happily_seek_a_better_liege|{s12} nie jest osobą odpowiednią do rządzenia. Rządy tego władcy są nader chwiejne. A to stanowi jedną z rzeczy, która działa na naszą korzyść. {s12} rządzi w labiryncie rywalizacji i pretensji. Lordowie rzadko ze sobą współpracują, a ty możesz swobodnie szukać lepszego suzerena.
str_thankfully_s12s_grip_is_fairly_shaky_many_lords_do_not_cooperate_with_each_other_and_some_might_be_tempted_to_seek_a_better_liege|Szczęśliwie, {s12} ma słabe poparcie wśród lordów, a jego panowanie jest dosyć chwiejne. Wielu lordów nie współpracuje ze sobą, a niektórych może kusić myśl, by poszukać lepszego suzerena.
str_unfortunately_s12s_grip_is_fairly_strong_until_we_can_shake_it_we_may_have_to_look_long_and_hard_for_allies|Niestety, {s12} ma poparcie wśród lordów, a jego panowanie jest pewne i silne. Dopóki go nie zrzucimy, poszukiwania sojuszników mogą być długie i ciężkie.
