str_no_string|NINCS SZÖVEG!
str_the_war_has_barely_begun_so_and_it_is_too_early_to_say_who_is_winning_and_who_is_losing|Alig kezdődött el a háború, így még túl korai lenne megmondani, ki nyer és ki veszít.
str_we_have_been_hitting_them_very_hard_and_giving_them_little_chance_to_recover|Nagyon kemény csapást mértünk rájuk, kevés esélyt adtunk nekik a talpra állásra
str_the_fighting_has_been_hard_but_we_have_definitely_been_getting_the_better_of_them|Kemény küzdelem volt, de határozottan föléjük kerekedtünk.
str_they_have_been_hitting_us_very_hard_and_causing_great_suffering|Nagyon komoly csapást mértek ránk és nagy veszteséget okoztak.
str_the_fighting_has_been_hard_and_i_am_afraid_that_we_have_been_having_the_worst_of_it|Kemény küzdelem volt, és attól tartok, mi kerültünk ki belőle vesztesen.
str_both_sides_have_suffered_in_the_fighting|Mindkét oldal megszenvedte a küzdelmet.
str_no_clear_winner_has_yet_emerged_in_the_fighting_but_i_think_we_are_getting_the_better_of_them|Még nem látszik tisztán, ki nyeri a küzdelmet, de úgy vélem, föléjük kerekedünk.
str_no_clear_winner_has_yet_emerged_in_the_fighting_but_i_fear_they_may_be_getting_the_better_of_us|Még nem látszik tisztán, ki nyeri a küzdelmet, de attól félek, fölénk kerekednek.
str_no_clear_winner_has_yet_emerged_in_the_fighting|Még nem látszik tisztán, ki nyeri a küzdelmet.
str_there_is_no_campaign_currently_in_progress|Jelenleg nincs folyamatban hadjárat.
str_we_are_assembling_the_army|Összegyűjtjük a sereget.
str_we_aim_to_take_the_fortress_of_s8|Célunk {s8} erődjének elfoglalása.
str_we_are_on_a_raid_and_are_now_targeting_s8|Portyán vagyunk, célunk {s8}.
str_we_are_trying_to_seek_out_and_defeat_s8|{s8} keresésére indultunk és megpróbáljuk megvédeni..
str_we_are_riding_to_the_defense_of_s8|{s8} védelmére sietünk.
str_we_are_gathering_for_a_feast_at_s8|Célunk {s8}, ahol lakomát tart vendéglátónk.
str__however_that_may_change_shortly_s14|Ugyanakkor, ez hamarosan megváltozhat. {s14}
str_it_is_our_custom_to_seal_any_such_alliances_with_marriage_and_in_fact_we_have_been_looking_for_a_suitable_groom_for_my_s11_s14|Szokásaink szerint az ilyen szövetségeket házassággal pecsételjük meg, és tulajdonképpen épp hozzáillő vőlegényt keresünk {s14} számára.
str_once_again_|még egyszer
str_cheat__marriage_proposal|Csalás -  házassági ajánlat
str_you_plan_to_marry_s4_as_you_have_no_family_in_calradia_he_will_organize_the_wedding_feast|Terveid szerint {s4} lesz hitvesed. Minthogy nincs családod Calradiában, ő szervezi meg a lakodalmat
str_s43_just_so_you_know_if_you_attack_me_you_will_be_in_violation_of_the_truce_you_signed_with_the_s34|{s43} csak, hogy tudd, ha megtámadsz, megsérted a fegyverszünetet, amelyet te és {s34} seregi írtatok alá.
str_very_well__you_are_now_my_liege_as_well_as_my_husband|Röviden: immár te vagy hűbéruram, s egyben férjem is, így az ezekből eredő minden kölcsönös kötelezettséggel,tartozunk egymásnak.
str_i_thank_you_reg39my_ladylord|Köszönöm, {reg39?úrnőm:uram}.
str_now_some_might_say_that_women_have_no_business_leading_mercenary_companies_but_i_suspect_that_you_would_prove_them_wrong_what_do_you_say|Nos, lehet, hogy némelyek azt vallják, a nőknek semmi keresnivalójuk egy zsoldossereg élén, de szerintem te majd bebizonyítod, nincs igazuk. Mi a véleményed?
str_what_do_you_say_to_entering_the_service_of_s9_as_a_mercenary_captain_i_have_no_doubt_that_you_would_be_up_to_the_task|Mit szólsz {s9} ajánlatához, hogy csatlakozz hozzá zsoldoskapitányként?
str_s9_asked_you_to_rescue_s13_who_is_prisoner_at_s24|{s9} felkért {s13} kiszabadítására, aki jelenleg {s24} foglya.
str_s9_asked_you_to_attack_a_village_or_some_caravans_as_to_provoke_a_war_with_s13|{s9} felkért, hogy támadj meg egy falut, vagy néhány karavánt, hogy háborút provokálhasson {s13} ellen.
str_s9_asked_you_to_catch_the_three_groups_of_runaway_serfs_and_bring_them_back_to_s4_alive_and_breathing_he_said_that_all_three_groups_are_heading_towards_s3|{s9} felkért, hogy fogj el három szökött jobbágycsoportot és vidd őket vissza {s4} helységbe, mindenképpen élve. Azt mondta, mindhárom csoport {s3} irányába tart.
str_you_intend_to_bring_goods_to_s9_in_preparation_for_the_feast_which_will_be_held_as_soon_as_conditions_permit|A lakoma előkészületeként javakat szállítasz {s9} részére, amint a körülmények engedik, kezdődhet a mulatság.
str_hello_playername|Üdv, {playername}
str_ah_my_gentle_playername_how_much_good_it_does_my_heart_to_see_you_again|Mennyire kedves szívemnek e pillanat, mikor újra láthatlak! Úgy érzem, láthatatlan kötelék köt össze bennünket, amely áthidalja a mérföldeket.
str_playername__i_am_so_glad_to_see_you_again_i_must_say_i_do_envy_your_freedom_to_ride_out_and_experience_the_world|Azt kell mondjam, irigylem szabadságod, hogy kilovagolhatsz felfedezni a világot.
str_playername__i_am_so_glad_to_see_you_i_trust_that_you_have_been_behaving_honorably_since_last_we_met|Bízom benne, hogy tisztességesen viselted magad, míg nem találkoztunk.
str_playername__i_am_so_glad_that_you_were_able_to_come|Annyira örülök, hogy el tudtál jönni!
str_i_do_enjoy_speaking_to_you_but_i_am_sure_you_understand_that_our_people_cluck_their_tongues_at_a_woman_to_spend_too_long_conversing_with_a_man_outside_her_family__although_the_heavens_know_its_never_the_man_who_is_held_to_blame_|Élvezem önnel a társalgást. Ám abban biztos vagyok, megérti, hogy az emberek szájukra veszik azt a nőt, aki túl sokat társalog olyannal, ki nem tartozik családjához. Bár az ég tudja, van, hogy ezért a férfi a hibás.
str_as_much_as_i_enjoy_speaking_to_you_i_do_not_care_to_be_gossiped_about_by_others_who_might_lack_my_grace_and_beauty_|Amennyire élvezem önnel a társalgást, annyira nem szeretném, ha azok, kiknek nem adatott meg a szépség és báj, mi nekem igen, pletykálni kezdenének rólam.
str_i_do_so_enjoy_speaking_to_you_but_as_a_daughter_of_one_of_the_great_families_of_this_land_i_must_set_an_example_of_propriety_|Élvezem önnel a társalgást. Ám mint e föld egyik kiváló családjának leánya, példát kell mutatnom illendőségből.
str_i_do_so_enjoy_speaking_to_you_but_as_a_daughter_of_good_family_i_must_protect_my_reputation_|Élvezem önnel a társalgást. Ám mint jó családból származó leány, meg kell védenem jó híremet.
str_although_it_is_kind_of_you_to_pay_me_such_attentions_i_suspect_that_you_might_find_other_ladies_who_may_be_more_inclined_to_return_your_affection|Habár kedves öntől, hogy ily figyelmet szentel nekem, azt gyanítom, találna olyan hölgyeket, akik szívesebben viszonoznák vonzalmát.
str_as_flattered_as_i_am_by_your_attentions_perhaps_you_should_seek_out_another_lady_of_somewhat_shall_we_say_different_tastes|Bár roppant mód hízelgő kitüntetett figyelme, talán más hölgyet kellene keresnie, akinek... mondjuk úgy... más az ízlése.
str_as_flattered_as_i_am_by_your_attentions_i_am_a_daughter_of_good_family_and_must_be_aware_of_my_reputation_it_is_not_seemly_that_i_converse_too_much_at_one_time_with_one_man_i_am_sure_you_understand_now_if_you_will_excuse_me|Bár roppant mód hízelgő kitüntetett figyelme, jó családból származó leányként vigyáznom kell jó híremre. Nem illik túl sok időt töltenem ugyanazon férfi társaságában. Bizonyosan megérti. Most, ha megbocsát...
str_very_well__i_will_let_you_choose_the_time|Nagyszerű, válassza meg az időpontot.
str_good_i_am_glad_that_you_have_abandoned_the_notion_of_pushing_me_into_marriage_before_i_was_ready|Remek! Örömmel tölt el, hogy lemondott arról, hogy házasságba kényszerítsen, mielőtt készen állnék arra.
str_i_am|Én
str_s12_s11_to_s14|{s12} {s14} {s11} vagyok
str_s12_i_am_here_for_the_feast|{s12} vagyok.A lakomára érkeztem.
str_another_tournament_dedication_oh_i_suppose_it_is_always_flattering|Újabb ajánlás lovagi tornára? Ó, úgy vélem, ez mindig hízelgő...
str_do_you_why_what_a_most_gallant_thing_to_say|Valóban? Nos, mily' gáláns, hogy ezt mondja.
str_hmm_i_cannot_say_that_i_altogether_approve_of_such_frivolity_but_i_must_confess_myself_a_bit_flattered|Hmm... Nem tudom, helyesli-e felületességem, de be kell valljam, ez roppant hízelgő.
str_why_thank_you_you_are_most_kind_to_do_so|Nos, köszönöm. Roppant kedves, hogy megteszi.
str_you_are_most_courteous_and_courtesy_is_a_fine_virtue_|Ön roppant udvarias és az udvariasság szép erény.
str_hmm_youre_a_bold_one_but_i_like_that_|Hmm. Bátor, de ez tetszik.
str_ah_well_they_all_say_that_but_no_matter_a_compliment_well_delivered_is_at_least_a_good_start_|Á, nos, mind ezt mondják. De semmi gond. Egy finom bók mindig jó kezdetnek. 
str_oh_do_you_mean_that_such_a_kind_thing_to_say|Ó! Valóban így gondolja? Milyen kedves öntől!
str_you_are_a_most_gallant_young_man_|Ön a leggálánsabb fiatalember.
str__do_come_and_see_me_again_soon|Majd mihamarabb jöjjön, hogy újra láthassam.
str_you_intend_to_ask_s12_for_permission_to_marry_s15|{s12} engedélyét kéred, hogy elnyerhesd {s15} kezét.
str_you_intend_to_ask_s12_to_pressure_s10_to_marry_you|{s12} segítségét kéred, hogy nyomást gyakoroljon {s10} házassággal kapcsolatos döntésére.
str_do_be_careful_i_am_so_much_endebted_to_you_for_this|Légy óvatos! Annyira hálás vagyok ezért...
str_go_then__we_shall_see_which_of_you_triumphs|Menj hát, lássuk, melyőtök diadalmaskodik...
str_sigh_i_will_never_truly_understand_men_and_their_rash_actions|Sóhajt... Sosem fogom igazén megérteni a férfiakat és meggondolatlan cselekedeteiket...
str_you_intend_to_challenge_s13_to_force_him_to_relinquish_his_suit_of_s11|{s13} ellen kívánsz párbajozni, hogy arra kényszerítsd, feladja {s11} iránt megnyilvánuló érdeklődését.
str_farewell|Isten veled!
str_farewell_playername|Isten veled, {playername}!
str___we_believe_that_there_is_money_to_be_made_selling_|  Hisszük, hogy pénzt kereshetnénk ezek eladásával: 
str__we_carry_a_selection_of_goods_although_the_difference_in_prices_for_each_is_not_so_great_we_hope_to_make_a_profit_off_of_the_whole|Válogatott javakat szállítunk. Bár darabonként nem olyan nagy az árrés, reméljük, az összes eladásából hasznot húzunk.
str_s14and_other_goods|{s14} és más javak.
str__have_you_not_signed_a_truce_with_our_lord| Hát nem fegyverszünetet írtál alá urunkkal?
str_parole|szabad mozgás
str_normal|normál
str__meanwhile_s51_reg2areis_being_held_in_the_castle_but_reg2havehas_made_pledges_not_to_escape_and_reg2areis_being_held_in_more_comfortable_quarters| Mindeközben, {s51} a vár foglya, de megfogadta, hogy nem szökik meg, így a kényelmesebb lakónegyedekben szállásolják majd el.
str_you_may_be_aware_my_lord_of_the_quarrel_between_s4_and_s5_which_is_damaging_the_unity_of_this_realm_and_sapping_your_authority_if_you_could_persuade_the_lords_to_reconcile_it_would_boost_your_own_standing_however_in_taking_this_on_you_run_the_risk_of_one_the_lords_deciding_that_you_have_taken_the_rivals_side|Mint arról te is értesülhettél, {uram/hölgyem}, {s4} és {s5} civódása káros birodalmunk egységére nézve és aláássa tekintélyedet. Ha meg tudnád győzni az urakat, hogy egyezzenek ki, megerősítenéd saját helyzetedet. Ugyanakkor, ha ezt vállalod, azt kockáztatod, hogy valamelyik főúr úgy fogja érezni, vetélytársa mellett álltál ki.
str_you_may_be_aware_my_lord_of_the_quarrel_between_s4_and_s5_which_is_damaging_the_unity_of_this_realm_and_sapping_your_authority_if_you_could_persuade_the_lords_to_reconcile_i_imagine_that_s7_would_be_most_pleased_however_in_taking_this_on_you_run_the_risk_of_one_the_lords_deciding_that_you_have_taken_the_rivals_side|Mint arról te is értesülhettél, {uram/hölgyem}, {s4} és {s5} civódása káros birodalmunk egységére nézve és aláássa tekintélyedet. Ha meg tudnád győzni az urakat, hogy egyezzenek ki, úgy vélem, {s7} roppant elégedett lenne. Ugyanakkor, ha ezt vállalod, azt kockáztatod, hogy valamelyik főúr úgy fogja érezni, vetélytársa mellett álltál ki.
str__of_course_the_land_is_currently_at_peace_so_you_may_have_better_luck_in_other_realms|Természetesen, az ország jelenleg békében él, így más birodalomban nagyobb szerencséval járhatsz.
str_here|a helyi
str_over|
str_s8_in_s12|{s8}, {s12}
str__has_put_together_a_bounty_on_some_bandits_who_have_been_attacking_travellers_in_the_area| összedobott némi vérdíjat néhány zsiványra, akik utazókra támadnak a környéken.
str__is_looking_for_a_way_to_avoid_an_impending_war| annak módját keresi, hogy elkerülhető legyen a küszöbön álló háború.
str__may_need_help_rescuing_an_imprisoned_family_member| segítségre szorul bebörtönzött családtagjának kiszabadítása céljából.
str__has_been_asking_around_for_someone_who_might_want_work_id_watch_yourself_with_him_though| dolgos kezek után érdeklődik. A helyedben azért vigyáznék vele.
str_town|város
str_castle|város
str__but_he_is_holding_there_as_a_prisoner_at_dungeon_of_s13| De fogolyként tartják bebörtönözve {s13} tömlöcében.
str_they_say_that_s9_is_a_most_conventional_maiden__devoted_to_her_family_of_a_kind_and_gentle_temperament_a_lady_in_all_her_way|Azt beszélik, {s9} roppant hagyománytisztelő hajadon, elhivatott családja irányában, kedves és finom természetű, igazi úrihölgy minden tekintetben.
str_they_say_that_s9_is_a_bit_of_a_romantic_a_dreamer__of_a_gentle_temperament_yet_unpredictable_she_is_likely_to_be_led_by_her_passions_and_will_be_trouble_for_her_family_ill_wager|Azt beszélik, {s9} egy kicsit romantikus, álmodozó, kedves természetű, de kiszámíthatatlan. Szenvedélye magával ragadhatja, és fog még bajt okozni a családjának, arra fogadni mernék.
str_they_say_that_s9_is_determined_to_marry_well_and_make_her_mark_in_the_world_she_may_be_a_tremendous_asset_for_her_husband__provided_he_can_satisfy_her_ambition|Azt beszélik, {s9} eltökélt célja, hogy jól házasodjon, és nevét megismerje a világ. Óriási kincs lehet férje számára, ha az meg tud felelni becsvágyának.
str_they_say_that_s9_loves_to_hunt_and_ride_maybe_she_wishes_she_were_a_man_whoever_she_marries_will_have_a_tough_job_keeping_the_upper_hand_i_would_say|Azt beszélik, {s9} szeret vadászni és lovagolni. Talán szívesen lenne férfi! Akihez hozzámegy, annak nehéz lesz megtartani a gyeplőt, azt mondom.
str_they_say_that_s9_is_a_lady_of_the_highest_moral_standards_very_admirable_very_admirable__and_very_hard_to_please_ill_warrant|Azt beszélik, {s9} roppant erkölcsös úri hölgy. Igen csodálatra méltó, és nehéz a kedvében járni, azt garantálom.
str_s9_is_now_betrothed_to_s11_soon_we_believe_there_shall_be_a_wedding|{s9} és {s11} immár jegyesek. Hamarosan, úgy hisszük, esküvőnek kell következnie!
str_i_have_not_heard_any_news_about_her|Nem hallottam semmi hírt felőle.
str_they_say_that_s9_has_shown_favor_to_s11_perhaps_it_will_not_be_long_until_they_are_betrothed__if_her_family_permits|Azt beszélik, {s11} elnyerte {s9} kegyét. Talán már nincs sok hátra az eljegyzésig, persze ha a család hozzájárul.
str_they_say_that_s9_has_been_forced_by_her_family_into_betrothal_with_s11|Azt beszélik, {s9} családja kényszeríti őt, hogy {s11} jegyese legyen.
str_they_say_that_s9_has_agreed_to_s11s_suit_and_the_two_are_now_betrothed|Azt beszélik,{s9} elfogadta {s11} leánykérését, és ők ketten immár jegyben járnak.
str_they_say_that_s9_under_pressure_from_her_family_has_agreed_to_betrothal_with_s11|Azt beszélik,{s9} családja nyomására {s11} jegyese lett.
str_they_say_that_s9_has_refused_s11s_suit|Azt beszélik,{s9} elutasította {s11} leánykérését.
str_they_say_that_s11_has_tired_of_pursuing_s9|Azt beszélik, {s11} belefáradt a(z) {s9} körüli legyeskedésbe.
str_they_say_that_s9s_family_has_forced_her_to_renounce_s11_whom_she_much_loved|Azt beszélik, {s9} családja szerelme, {s11} elutasítására kényszerítette őt.
str_they_say_that_s9_has_run_away_with_s11_causing_her_family_much_grievance|Azt beszélik, {s9} és {s11} megszöktek, ezzel nagy csorbát ejtve a család becsületén.
str_they_say_that_s9_and_s11_have_wed|Azt beszélik,{s9} és {s11}összeházasodtak.
str_they_say_that_s9_was_recently_visited_by_s11_who_knows_where_that_might_lead|Azt beszélik, {s11} látogatást tett {s11} lakóhelyén. Ki tudja, mihez vezet mindez?!
str_there_is_not_much_to_tell_but_it_is_still_early_in_the_season|Nincs sok mondanivalóm, de még az évszak elején járunk.
str_s12there_is_a_feast_of_the_s3_in_progress_at_s4_but_it_has_been_going_on_for_a_couple_of_days_and_is_about_to_end_|{s12} {s3} lakomája zajlik {s4} kastélyban, de már jó pár napja, hogy elkezdődött és nemsokára véget ér.. 
str_s12there_is_a_feast_of_the_s3_in_progress_at_s4_which_should_last_for_at_least_another_day_|{s12} {s3} lakomája zajlik {s4} kastélyban, ami még legalább egy napig eltart. 
str_s12there_is_a_feast_of_the_s3_in_progress_at_s4_which_has_only_just_begun_|{s12} {s3} lakomája zajlik {s4} kastélyban, még csak most kezdődött. 
str_not_at_this_time_no|Nem, ezúttal nem.
str_s12the_great_lords_bring_their_daughters_and_sisters_to_these_occasions_to_see_and_be_seen_so_they_represent_an_excellent_opportunity_to_make_a_ladys_acquaintance|{s12} A nagyurak elhozzák leányaikat és nővéreiket ezen alkalmakra, így kiváló lehetőséget teremtenek arra, hogy hölgyeket ismerj meg. 
str_you_will_not_be_disappointed_sirmadam_you_will_not_find_better_warriors_in_all_calradia|Nem fogsz csalódni, {uram/hölgyem}. Calradia-szerte nem találsz jobb harcosokat.
str_your_excellency|méltóságod
str_s10_and_s11|{s10} és {s11}
str_your_loyal_subjects|hű alattvalóid
str_loyal_subjects_of_s10|{s10} hű alattvalói
str_the|a(z)
str_we|mi 
str_track_down_s7_and_defeat_him_defusing_calls_for_war_within_the_s11|Eredj {s7} nyomába és győzd le őt, ezzel elnémítva azokat a hangokat, amelyek {s11} elleni háborút követelnek.
str_track_down_the_s9_who_attacked_travellers_near_s8_then_report_back_to_the_town|Eredj a(z) {s8} környékén utazókat fenyegető {s9} nyomába, majd jelentsd a városnak, mire jutottál.
str_do_you_wish_to_award_it_to_one_of_your_vassals|Óhajtod valamelyik vazallusodnak adományozni?
str_who_do_you_wish_to_give_it_to|Kinek óhajtod adományozni?
str_sire_my_lady_we_have_taken_s1_s2|{Uram/Úrnőm}, {s1} a miénk. {s2}
str_s12i_want_to_have_s1_for_myself|{s12}Magamnak akarom {s1} birtokát. {s2}
str_fiefs_s0|(hűbérbirtokok: {s0})
str_production_setting_buy_from_market|Nyersanyagokat vásárolunk a piacról.
str_production_setting_buy_from_inventory|Csak a felszerelésünk között megtalálható nyersanyagokat használjuk.
str_production_setting_produce_to_inventory|Termelésünket a felszerelések közé helyezzük.
str_production_setting_produce_to_market|Termelésünket közvetlenül a felszerelések közé helyezzük.
str_feast_quest_expired|Nem tudtad megtartani a tervezett lakomát. Valószínűleg az érdekcsoportod fontos hadjárata, vagy más esemény jött közbe. Ha kívánod, ismét megpróbálhatod megrendezni a lakomát.
str_whereabouts_unknown|Holléte ismeretlen.
str_mulberry_groves|több hektárnyi eperfaliget
str_olive_groves|több hektárnyi olívaliget
str_acres_flax|több hektárnyi lenföld
str_enterprise_enemy_realm|{Uram/Hölgyem}, te e birodalom ellensége vagy. Nem engedhetjük, hogy földet vásárolj itt.
str_you_intend_to_denounce_s14_to_s13_on_behalf_of_s12|Bizalmasan szándékozol vádat emelni {s14} ellen {s12} nevében, {s13} előtt 
str_you_intend_to_denounce_s14_to_his_face_on_behalf_of_s14|Nyíltan, szemtől-szembe kívánsz vádat emelni {s14} ellen {s12} nevében 
str_you_intend_to_bring_gift_for_s14|Bársonyt és prémeket szándékozol hozni {s12} részére. Utána {s14} felkeresésével megláthatod, hogy ő és {s12} hajlandó-e így békét kötni.
str_we_will_gather_the_army_but_not_ride_until_we_have_an_objective|Összegyűjtjük a sereget, de nem indulunk el, míg nem lesz célunk.
str_we_shall_lay_siege_to_an_easy_fortress_to_capture|Legsebezhetőbb erődjükhöz összpontosítjuk erőinket.
str_we_shall_strike_at_the_heart_of_our_foe_and_seize_the_fortress_of_s14|Olyan csapást szándékozunk rájuk mérni, ami a legnagyobb veszteségeket okozza számukra.
str_we_shall_take_the_fortress_of_s14_which_appears_easily_defensible|Olyan erődöt akarunk elfoglalni, amit könnyen meg tudunk védeni.
str_we_shall_cut_a_fiery_trail_through_their_richest_lands_to_draw_them_out_to_battle|Tűz szegélyezi leggazdagabb földjeiken át vezető utunkat, hogy harcra kényszerítsük őket.
str_strategy_criticism_rash|Úgy vélem, ez meggondolatlan stratégia, ami szükségtelenül teszi ki veszélynek erőinket.  
str_strategy_criticism_cautious|Úgy vélem, ez túlzottan óvatos stratégia, seregünk elunja magát és sikert sem érhetünk el. 
str_tavernkeeper_invalid_quest|Volt valami, de már nem emlékszem a részletekre.
str_faction_title_male_player|{s0} főúr
str_faction_title_male_1|{s0} gróf
str_faction_title_male_2|{s0} bojár
str_faction_title_male_3|{s0} nojan
str_faction_title_male_4|{s0} jarl
str_faction_title_male_5|{s0} gróf
str_faction_title_male_6|{s0} emír
str_faction_title_female_player|{s0} úrhölgy
str_faction_title_female_1|{s0} grófnő
str_faction_title_female_2|{s0} bojárnő
str_faction_title_female_3|{s0} hatun
str_faction_title_female_4|{s0} grófnő
str_faction_title_female_5|{s0} grófnő
str_faction_title_female_6|{s0} sajeda
str_name_kingdom_text|Mi lesz királyságod neve?
str_default_kingdom_name|{s0} Királysága
str_lord_defects_ordinary|Pártütő főúr^^{s1} felmondta {s3} részére tett hűségesküjét és csatlakozott a(z) {s2} érdekcsoporthoz
str_lord_defects_player|Pártütő főúr^^{s1} felmondta {s3} részére tett hűségesküjét. Próbaképpen királyságodhoz csatlakozott. Ha az udvarodba mész, fogadalmát is leteheti.
str_lord_defects_player_faction|Pártütő főúr^^{s1} felmondta {s3} részére tett hűségesküjét. Próbaképpen királyságodhoz csatlakozott. Ha az udvarodba mész, fogadalmát is leteheti
str_lord_indicted_player_faction|{s6} parancsára {s4}, {s5} ellen vádat emeltek árulás címén. A főurat megfosztottá {reg4?minden:minden} tulajdontól és {reg4?életét:életét} mentve elmenekült. Királyságodhoz kíván csatlakozni. Ha úgy kívánod, udvarodban tehet {reg?neked:neked} fogadalmat.
str_lord_indicted_dialog_approach|Köszöntelek, {uram/úrnőm}. Biztosan értesültél róla, mily rútul bánt velem {s10}. Te olyan hűbérúr hírében állsz, aki jól bánik vazallusaival, és ha elfogadsz engem, szívesen teszek neked hűbéri hűségesküt.
str_lord_indicted_dialog_approach_yes|Én pedig tisztelettel elfogadom esküdet.
str_lord_indicted_dialog_approach_no|Sajnálom. Nincs szükségem szolgálataidra.
str_lord_indicted_dialog_rejected|Valóban? Nos, talán hírneved nem felel meg a valóságnak. Jó napot, {uram/úrnőm}, indulok, hátha egy másik calradiai uralkodó jobban megbecsüli tehetségemet. 
str__has_been_worried_about_bandits_establishing_a_hideout_near_his_home|aggódik amiatt, hogy zsiványok verhetnek tanyát a területén
str_bandit_lair_quest_description|Keresd meg és számold fel ezt: {s9}, majd jelents {s11} felé.
str_bandit_hideout_preattack|A rejtekhelyhez érsz. A(z) {s4} nem pillantott meg, így még észrevétlenül ellopózhatsz. A rejtekhely - amely {s5} vezet - nehéz megközelíthetősége eredményeként csak sereged egy maroknyi katonája tart veled a támadáskor, és nem hozhatják lovaikat sem. Ha az első támadás balul sül el, a zsiványok könnyen elmenekülhetnek és szétszéledhetnek. Megtámadod a búvóhelyet, vagy vársz a következő alkalomra?
str_bandit_hideout_failure|{s4} csapatai visszaverik támadásodat. Újra rendezitek a sorokat és ismét előrenyomultok, ám ők eltűntek és szétszéledtek a vidéken, ám afelől semmi kétség, hogy továbbra is riogatni fogják az utazókat.
str_bandit_hideout_success|Miután elvágtad a visszavonulási útvonalat, egymás után hull a sok {s4} megtervezett támadásod nyomán. Búvóhelyük, ahogy csalárd módon szerzett zsákmányuk is, immár a tiéd.
str_bandit_approach_defile|le a keskeny szoroson
str_bandit_approach_swamp|át a fenyves mocsáron
str_bandit_approach_thickets|át egy sor sűrű bozótoson
str_bandit_approach_cliffs|fel egy szikla mellett vezető ösvényen
str_bandit_approach_cove|le egy patak medre mentén, át a tengeri sziklákon
str_political_explanation_lord_lacks_center|Ez esetben a hűbérbirtokot egy föld- és jövedelem nélküli úr kapja.
str_political_explanation_lord_took_center|Ez esetben az erődöt az kapja, aki elfoglalta.
str_political_explanation_most_deserving_friend|Ez esetben megnéztem a társaim és a közeli hozzátartozóim helyzetét és úgy döntöttem, hogy az kapja, aki a legjobban kiérdemelte.
str_political_explanation_most_deserving_in_faction|Ez esetben megnéztem a birodalom főurainak helyzetét és úgy döntöttem, hogy azé lesz a hűbérbirtok, aki a legjobban kiérdemelte.
str_political_explanation_self|Más egyértelmű jelölt hiányában magamat jelölöm.
str_political_explanation_marshal|A legbátrabbat választottam nemeseink közül, akiben megbízom és akinek a nevét nem szennyezte be semmilyen civódás.
str_prisoner_at_large|nagyszerű, miután a fogvatartókat legyőztük a csatában. Biztos vagyok benne, hogy barátod hamar újra előbukkan.
str_quick_battle_scene_1|Tanya
str_quick_battle_scene_2|Oázis
str_quick_battle_scene_3|Tulbuk szorosa
str_quick_battle_scene_4|Haima vára
str_quick_battle_scene_5|Ulbas vára
str_quick_battle_troop_1|Oka van annak, hogy senki nem megy naplemente után a fegyveres őrök nélküli városokba, és ez az ok Rodrigo de Braganca. Valaha éles szemű, egy pár rubinttal rendelkező és a bársonypiac felvásárlásáról álmodozó kalmárként érkezett Tihrbe, de hamarosan koldusbotra jutott, mivel mindent elvesztett a tisztességtelen rhodok kereskedőcéhekkel folytatott öldöklő versenyben. Ám a mércéit hamar kardokra cserélte és komoly üzleti érzékét arra használta fel, hogy felépítse Veluca legveszélyesebb bűnszövetkezetét, amely mindegyik nagyobb városban működik és létesített búvóhelyeket. Elérte célját, mivel a fejére tűzött vérdíj mára nagyobb, mint az a gazdagság, amelyre egykor vágyott. Manapság abban leli kedvét, hogy korábbi versenytársait fosztja meg világi javaiktól és gondjaiktól.
str_quick_battle_troop_2|Usiatra igen véres és pimasz módon, még tizenhét évesen ragadta magához a Siri nevű, Calradián kívül, a déli sivatagban fekvő falucskát megszállt zsiványok vezetését. Irányítása alatt a gazfickók bandája az egész délvidékre kiterjesztette működését. Agyafúrt, ellentmondást nem tűrő modora - amely könyörtelen, embertelenséggel és kegyetlenséggel járó  törtetéssel párosul - hatására követői gyakorlatilag bálványozzák. Ekképpen sajátjai között dekadens, romlott életvitelt folytat, amely az útjai során végrehajtott erőszakos fosztogatásra alapul. Katonai ereje és természetes stratégiai érzéke azt eredményezte, hogy hazájában senki nem képes fölé kerekedni, és most már egyre inkább Calradia gazdag földjei felé kacsingatva tervezi fenntartani harcosait.
str_quick_battle_troop_3|Hegen, aki egy Uxkhal közelében élő kisnemes másodszülött fiaként látta meg a napvilágot, kitanulta a háború mesterségét és az egy az egy elleni harc fortélyait. Miután lovaggá ütötték, Uxkhal főurának seregében szolgált zsoldos lovagként a vaegirek ellen vívott háborúban, egészen addig, míg egy zsiványcsapattal Amere közelében meghiúsított egy khergit portyát. Az ezt követő ellen-portya és az utána folytatott két hadjárat dicsőséget és nevet szerzett neki harcosként. Sajnálatosan elveszítette azonban az esélyt arra, hogy még jobban kitűnjön, amikor békét hirdettek és leszerelték. Mivel az öröklésben nem reménykedhetett és harci készségei békeidőben sorvadoztak csupán, összegyűjtött egy ifjú harcosokból álló csoportot és zsoldoskapitánnyá avanzsált. Most abból a tényből remél előnyt kovácsolni, hogy Calradiában mindig van olyan háború, amelyben szükség lehet egy zsoldoscsapatra.  
